job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,448,77,39,14,11,83
2,322,94,31,21,2,13
3,380,9,46,15,36,84
4,322,57,18,10,30,46
5,632,29,93,85,89,20
6,452,79,58,46,10,33
7,688,55,85,42,88,74
8,426,73,58,18,22,42
9,524,65,97,36,31,33
10,356,86,10,2,9,71
11,446,25,79,44,43,32
12,720,39,93,89,91,48
13,304,76,2,6,26,42
14,432,24,87,3,3,99
15,276,38,17,1,75,7
16,438,5,18,43,99,54
17,506,91,10,81,63,8
18,584,29,50,57,83,73
19,412,22,8,76,70,30
20,542,27,26,59,84,75
