instance,ub,lb,T,R,job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,1278,1232,0.2,0.2,1,955,54,79,16,66,58
1,1278,1232,0.2,0.2,2,1097,83,3,89,58,56
1,1278,1232,0.2,0.2,3,1043,15,11,49,31,20
1,1278,1232,0.2,0.2,4,1010,71,99,15,68,85
1,1278,1232,0.2,0.2,5,901,77,56,89,78,53
1,1278,1232,0.2,0.2,6,901,36,70,45,91,35
1,1278,1232,0.2,0.2,7,877,53,99,60,13,53
1,1278,1232,0.2,0.2,8,1076,38,60,23,59,41
1,1278,1232,0.2,0.2,9,1011,27,5,57,49,69
1,1278,1232,0.2,0.2,10,1037,87,56,64,85,13
1,1278,1232,0.2,0.2,11,867,76,3,7,85,86
1,1278,1232,0.2,0.2,12,1101,91,61,1,9,72
1,1278,1232,0.2,0.2,13,1068,14,73,63,39,8
1,1278,1232,0.2,0.2,14,915,29,75,41,41,49
1,1278,1232,0.2,0.2,15,907,12,47,63,56,47
1,1278,1232,0.2,0.2,16,908,77,14,47,40,87
1,1278,1232,0.2,0.2,17,937,32,21,26,54,58
1,1278,1232,0.2,0.2,18,992,87,86,75,77,18
1,1278,1232,0.2,0.2,19,969,68,5,77,51,68
1,1278,1232,0.2,0.2,20,934,94,77,40,31,28
1,1278,1232,0.2,0.6,1,893,54,79,16,66,58
1,1278,1232,0.2,0.6,2,1319,83,3,89,58,56
1,1278,1232,0.2,0.6,3,1157,15,11,49,31,20
1,1278,1232,0.2,0.6,4,1059,71,99,15,68,85
1,1278,1232,0.2,0.6,5,731,77,56,89,78,53
1,1278,1232,0.2,0.6,6,731,36,70,45,91,35
1,1278,1232,0.2,0.6,7,659,53,99,60,13,53
1,1278,1232,0.2,0.6,8,1256,38,60,23,59,41
1,1278,1232,0.2,0.6,9,1060,27,5,57,49,69
1,1278,1232,0.2,0.6,10,1139,87,56,64,85,13
1,1278,1232,0.2,0.6,11,631,76,3,7,85,86
1,1278,1232,0.2,0.6,12,1333,91,61,1,9,72
1,1278,1232,0.2,0.6,13,1231,14,73,63,39,8
1,1278,1232,0.2,0.6,14,773,29,75,41,41,49
1,1278,1232,0.2,0.6,15,750,12,47,63,56,47
1,1278,1232,0.2,0.6,16,752,77,14,47,40,87
1,1278,1232,0.2,0.6,17,841,32,21,26,54,58
1,1278,1232,0.2,0.6,18,1004,87,86,75,77,18
1,1278,1232,0.2,0.6,19,935,68,5,77,51,68
1,1278,1232,0.2,0.6,20,831,94,77,40,31,28
1,1278,1232,0.2,1.0,1,831,54,79,16,66,58
1,1278,1232,0.2,1.0,2,1541,83,3,89,58,56
1,1278,1232,0.2,1.0,3,1271,15,11,49,31,20
1,1278,1232,0.2,1.0,4,1107,71,99,15,68,85
1,1278,1232,0.2,1.0,5,562,77,56,89,78,53
