instance,ub,lb,T,R,job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5,p_machine6,p_machine7,p_machine8,p_machine9,p_machine10
1,3025,2907,0.2,0.2,1,2253,46,61,3,51,37,79,83,22,27,24
1,3025,2907,0.2,0.2,2,2588,52,87,1,24,16,93,87,29,92,47
1,3025,2907,0.2,0.2,3,2460,79,51,58,21,42,68,38,99,75,39
1,3025,2907,0.2,0.2,4,2383,45,25,85,57,47,75,38,25,94,66
1,3025,2907,0.2,0.2,5,2126,97,73,33,69,94,37,86,98,18,41
1,3025,2907,0.2,0.2,6,2126,10,93,71,51,14,44,67,55,41,46
1,3025,2907,0.2,0.2,7,2069,44,28,58,50,94,34,23,80,37,24
1,3025,2907,0.2,0.2,8,2538,24,90,56,51,34,39,19,82,58,23
1,3025,2907,0.2,0.2,9,2384,85,94,64,21,72,76,97,33,56,68
1,3025,2907,0.2,0.2,10,2447,75,59,43,19,36,62,78,68,20,50
1,3025,2907,0.2,0.2,11,2047,66,64,48,63,88,74,66,47,2,93
1,3025,2907,0.2,0.2,12,2599,49,2,69,91,51,28,67,74,39,22
1,3025,2907,0.2,0.2,13,2519,95,16,96,11,41,78,7,26,91,64
1,3025,2907,0.2,0.2,14,2158,61,35,35,6,71,43,23,61,81,81
1,3025,2907,0.2,0.2,15,2141,19,53,82,31,94,98,67,95,33,94
1,3025,2907,0.2,0.2,16,2142,47,40,53,63,99,83,8,55,14,97
1,3025,2907,0.2,0.2,17,2212,84,81,64,36,11,91,77,11,88,54
1,3025,2907,0.2,0.2,18,2340,13,26,11,39,97,27,71,42,22,82
1,3025,2907,0.2,0.2,19,2286,11,85,61,57,44,6,85,72,36,11
1,3025,2907,0.2,0.2,20,2204,19,4,36,47,77,82,29,14,65,91
1,3025,2907,0.2,0.2,21,2391,98,4,53,56,69,60,49,8,79,23
1,3025,2907,0.2,0.2,22,2116,2,10,87,65,91,44,3,98,23,32
1,3025,2907,0.2,0.2,23,2205,85,63,88,59,38,43,94,90,66,26
1,3025,2907,0.2,0.2,24,2248,44,96,10,4,25,76,76,36,5,22
1,3025,2907,0.2,0.2,25,2300,7,55,32,10,87,99,95,75,15,12
1,3025,2907,0.2,0.2,26,2491,73,71,38,12,7,66,48,69,51,23
1,3025,2907,0.2,0.2,27,2151,19,66,25,62,66,11,4,26,2,34
1,3025,2907,0.2,0.2,28,2334,69,94,24,43,54,35,37,24,81,87
1,3025,2907,0.2,0.2,29,2379,12,7,90,49,86,52,82,55,12,59
1,3025,2907,0.2,0.2,30,2062,73,15,7,54,49,8,57,98,40,2
1,3025,2907,0.2,0.2,31,2388,85,11,11,87,3,40,61,86,59,38
1,3025,2907,0.2,0.2,32,2134,23,99,49,29,48,62,6,30,32,84
1,3025,2907,0.2,0.2,33,2073,53,37,2,2,44,25,97,92,16,62
1,3025,2907,0.2,0.2,34,2587,16,50,76,18,93,24,5,94,87,10
1,3025,2907,0.2,0.2,35,2596,88,56,17,75,37,30,27,66,78,11
1,3025,2907,0.2,0.2,36,2505,8,69,32,39,82,1,95,47,41,93
1,3025,2907,0.2,0.2,37,2212,26,22,39,77,31,73,46,3,43,57
1,3025,2907,0.2,0.2,38,2092,42,56,9,69,59,27,92,41,94,81
1,3025,2907,0.2,0.2,39,2433,58,67,83,15,78,16,46,41,1,10
1,3025,2907,0.2,0.2,40,2291,63,63,69,78,33,91,52,47,93,40
1,3025,2907,0.2,0.2,41,2106,7,96,67,68,36,33,8,89,22,62
1,3025,2907,0.2,0.2,42,2323,2,74,28,37,3,11,11,28,93,49
1,3025,2907,0.2,0.2,43,2055,44,4,88,22,58,99,7,39,62,90
1,3025,2907,0.2,0.2,44,2564,38,42,23,41,10,2,54,80,53,34
1,3025,2907,0.2,0.2,45,2185,24,40,91,92,98,60,72,47,30,11
1,3025,2907,0.2,0.2,46,2420,76,30,71,67,6,90,57,57,34,81
1,3025,2907,0.2,0.2,47,2216,85,93,3,24,44,36,85,74,27,51
1,3025,2907,0.2,0.2,48,2337,61,36,26,87,62,62,22,38,30,21
