instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,50,10,2907,3025,41309,0,200.005547,18 37 42 14 44 24 30 33 20 27 49 43 8 36 35 7 12 1 39 32 48 13 34 31 6 10 28 21 22 19 26 11 2 45 46 50 41 17 3 47 29 4 25 16 38 40 23 5 9 15
2,50,10,2821,2892,39095,0,200.002421,35 22 33 28 25 3 42 24 48 11 46 14 49 1 10 38 7 17 23 31 13 12 36 45 44 9 4 18 47 50 30 2 26 32 40 19 6 5 29 37 20 41 15 43 16 27 34 21 8 39
3,50,10,2801,2864,36361,0,200.000393,24 4 28 16 12 14 27 8 49 15 35 37 39 18 22 3 32 10 36 19 46 25 23 31 1 7 11 26 21 2 5 9 40 30 6 33 41 29 17 45 43 48 50 34 38 47 44 42 20 13
4,50,10,2968,3064,40396,0,200.001435,20 5 22 31 19 42 44 28 9 33 10 46 39 29 37 7 40 16 8 18 17 41 34 48 13 27 45 36 11 6 50 23 25 3 32 1 35 30 21 24 4 49 12 14 43 15 38 2 26 47
5,50,10,2908,2986,40111,0,200.000082,48 33 50 25 31 6 34 1 30 10 42 14 7 40 23 20 45 27 29 36 49 44 39 21 8 43 46 11 2 3 22 15 35 13 47 32 12 18 16 9 17 28 19 4 26 37 41 24 5 38
6,50,10,2941,3006,40079,0,200.000174,3 42 40 24 45 28 44 5 23 15 39 9 49 33 41 12 31 38 19 1 20 37 25 34 11 16 2 35 50 7 32 21 47 26 29 22 4 17 43 27 10 14 6 8 13 46 36 18 48 30
7,50,10,3062,3107,42226,0,200.001363,41 6 17 26 27 33 37 49 40 9 3 2 28 15 18 21 13 30 42 36 48 23 31 20 25 11 46 44 1 10 16 12 7 35 50 22 34 32 29 45 24 43 19 4 8 14 5 47 38 39
8,50,10,2959,3039,41731,0,200.002427,13 21 26 5 38 39 28 17 32 31 15 41 29 14 6 12 11 44 40 23 4 20 25 34 9 30 7 43 48 36 22 35 19 49 8 27 2 1 42 24 3 46 16 37 45 33 47 10 18 50
9,50,10,2795,2902,42052,0,200.002173,33 44 22 31 45 2 25 30 50 48 6 42 27 10 38 20 13 36 29 49 1 46 15 5 23 47 7 18 37 39 40 21 24 26 4 34 28 35 41 9 43 32 19 12 8 16 11 3 17 14
10,50,10,3046,3091,42021,0,200.020288,49 34 44 38 10 21 41 27 14 15 19 4 23 9 2 6 40 17 28 8 45 39 22 20 30 42 12 13 24 48 16 47 1 32 29 11 37 33 43 7 46 5 36 26 18 50 3 31 25 35
