Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J17,382,2,0,191,0,0
J3,252,8,32,211,0,0
J8,442,7,47,268,0,0
J9,414,8,85,345,0,0
J13,394,8,112,353,0,0
J12,468,8,126,425,0,0
J11,514,4,217,511,0,0
J15,450,6,293,558,108,1
J1,546,7,305,616,70,1
J19,538,6,359,684,146,1
J6,554,10,427,720,166,1
J5,706,7,463,816,110,1
J18,686,8,540,883,197,1
J16,530,5,627,992,462,1
J10,610,5,704,1009,399,1
J14,470,3,791,1086,616,1
J4,676,5,820,1190,514,1
J2,578,4,891,1246,668,1
J7,556,3,974,1299,743,1
J20,540,2,1027,1327,787,1

TT,TWT,T_max,NT,,,
4986,21218,787,13,,,
