Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J17,632,2,0,316,0,0
J1,650,7,2,410,0,0
J20,610,2,39,501,0,0
J2,494,4,92,599,105,1
J11,600,4,128,637,37,1
J3,586,8,206,700,114,1
J15,388,6,207,737,349,1
J4,302,5,296,820,518,1
J10,408,5,300,828,420,1
J9,596,8,307,857,261,1
J7,436,3,380,911,475,1
J8,486,7,412,989,503,1
J16,404,5,479,1005,601,1
J5,440,7,528,1024,584,1
J13,474,8,592,1085,611,1
J19,572,6,690,1094,522,1
J12,526,8,769,1193,667,1
J14,544,3,833,1203,659,1
J18,648,8,893,1339,691,1
J6,688,10,972,1418,730,1

TT,TWT,T_max,NT,,,
7847,50552,730,17,,,
