Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J33,716,5,0,358,0,0
J50,664,8,16,387,0,0
J25,632,9,74,461,0,0
J6,624,10,76,608,0,0
J34,770,3,93,686,0,0
J31,806,9,189,772,0,0
J30,836,4,234,817,0,0
J23,848,10,291,834,0,0
J29,978,7,313,870,0,0
J21,966,5,390,931,0,0
J4,1240,5,453,1100,0,0
J41,1258,9,526,1170,0,0
J38,1354,7,578,1347,0,0
J47,1324,2,617,1429,105,1
J24,1322,6,713,1550,228,1
J37,1258,9,789,1605,347,1
J5,1314,7,846,1724,410,1
J17,1282,2,903,1821,539,1
J19,1226,6,977,1881,655,1
J28,1200,3,1071,1931,731,1
J14,1186,3,1165,2028,842,1
J18,1166,8,1170,2101,935,1
J49,1156,7,1266,2198,1042,1
J16,1154,5,1299,2251,1097,1
J13,1138,8,1306,2269,1131,1
J40,1122,4,1308,2351,1229,1
J22,1100,1,1343,2360,1260,1
J3,1080,8,1381,2481,1401,1
J27,1078,10,1444,2553,1475,1
J26,1062,1,1515,2578,1516,1
J15,1068,6,1526,2697,1629,1
J11,1064,4,1601,2825,1761,1
J20,1030,2,1625,2864,1834,1
J35,1056,7,1669,2962,1906,1
J7,1042,3,1710,2994,1952,1
J8,1036,7,1739,3071,2035,1
J32,1020,3,1755,3079,2059,1
J46,1026,5,1813,3134,2108,1
J9,990,8,1847,3189,2199,1
J43,934,10,1941,3251,2317,1
J2,960,4,2023,3397,2437,1
J45,920,10,2113,3437,2517,1
J44,920,9,2160,3460,2540,1
J12,874,8,2203,3494,2620,1
J39,900,2,2242,3580,2680,1
J36,866,5,2316,3648,2782,1
J42,792,2,2368,3745,2953,1
J10,836,5,2410,3873,3037,1
J48,818,4,2457,3939,3121,1
J1,770,7,2470,4006,3236,1

TT,TWT,T_max,NT,,,
62666,345898,3236,37,,,
