Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J27,696,10,0,348,0,0
J6,678,10,57,412,0,0
J17,750,2,112,488,0,0
J26,632,1,154,576,0,0
J41,624,9,161,613,0,0
J33,750,5,190,694,0,0
J49,954,7,253,788,0,0
J40,768,4,285,841,73,1
J3,1022,8,321,907,0,0
J28,1082,3,384,994,0,0
J15,1014,6,394,1008,0,0
J18,786,8,446,1064,278,1
J42,1032,2,518,1165,133,1
J36,810,5,523,1202,392,1
J21,820,5,614,1287,467,1
J48,788,4,668,1372,584,1
J23,842,10,729,1383,541,1
J20,928,2,773,1410,482,1
J13,856,8,818,1442,586,1
J31,902,9,844,1494,592,1
J11,1062,4,935,1534,472,1
J46,904,5,980,1598,694,1
J44,1034,9,1045,1680,646,1
J1,1068,7,1126,1759,691,1
J10,1082,5,1155,1821,739,1
J16,1088,5,1200,1901,813,1
J12,1036,8,1210,1909,873,1
J38,944,7,1251,1958,1014,1
J7,1078,3,1337,2060,982,1
J35,1108,7,1416,2129,1021,1
J22,948,1,1508,2165,1217,1
J34,838,3,1579,2176,1338,1
J2,930,4,1677,2290,1360,1
J32,1056,3,1705,2382,1326,1
J29,1114,7,1727,2440,1326,1
J30,1056,4,1790,2465,1409,1
J9,1084,8,1863,2570,1486,1
J24,1174,6,1865,2597,1423,1
J4,1166,5,1914,2629,1463,1
J37,1108,9,1987,2809,1701,1
J25,1140,9,2015,2818,1678,1
J45,1056,10,2093,2867,1811,1
J8,1118,7,2166,2976,1858,1
J39,1298,2,2248,2999,1701,1
J50,1344,8,2324,3095,1751,1
J43,1172,10,2385,3195,2023,1
J14,1376,3,2462,3234,1858,1
J19,1440,6,2549,3377,1937,1
J5,1486,7,2608,3459,1973,1
J47,1326,2,2707,3483,2157,1

TT,TWT,T_max,NT,,,
44869,265543,2157,40,,,
