Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J3,252,8,0,126,0,0
J15,450,6,15,241,0,0
J8,442,7,27,294,0,0
J9,414,8,65,371,0,0
J13,394,8,92,379,0,0
J12,468,8,106,451,0,0
J19,538,6,197,519,0,0
J6,554,10,265,554,0,0
J1,546,7,301,631,85,1
J5,706,7,355,726,20,1
J18,686,8,432,775,89,1
J16,530,5,519,884,354,1
J2,578,4,596,940,362,1
J14,470,3,679,989,519,1
J4,676,5,708,1074,398,1
J11,514,4,779,1160,646,1
J10,610,5,855,1173,563,1
J7,556,3,942,1226,670,1
J17,382,2,995,1295,913,1
J20,540,2,1027,1323,783,1

TT,TWT,T_max,NT,,,
5402,19013,913,12,,,
