Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J3,380,8,0,190,0,0
J15,276,6,9,197,0,0
J14,432,3,47,296,0,0
J10,356,5,71,367,11,1
J16,438,5,157,421,0,0
J19,412,6,162,451,39,1
J11,446,4,184,483,37,1
J8,426,7,209,525,99,1
J4,322,5,282,571,249,1
J18,584,8,339,650,66,1
J13,304,8,368,692,388,1
J20,542,2,444,767,225,1
J5,632,7,471,796,164,1
J6,452,10,500,829,377,1
J9,524,8,579,862,338,1
J2,322,4,644,875,553,1
J1,448,7,738,962,514,1
J7,688,3,815,1159,471,1
J17,506,2,870,1167,661,1
J12,720,8,961,1321,601,1

TT,TWT,T_max,NT,,,
4793,27432,661,16,,,
