Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J6,320,10,0,160,0,0
J12,252,8,40,214,0,0
J17,412,2,53,297,0,0
J16,598,5,66,395,0,0
J1,322,7,118,403,81,1
J2,466,4,152,494,28,1
J5,540,7,172,569,29,1
J3,484,8,234,614,130,1
J9,504,8,291,659,155,1
J10,518,5,300,748,230,1
J18,578,8,362,784,206,1
J14,534,3,432,825,291,1
J4,518,5,478,880,362,1
J15,566,6,525,944,378,1
J20,590,2,608,963,373,1
J13,600,8,668,1006,406,1
J7,638,3,746,1086,448,1
J11,504,4,820,1097,593,1
J19,752,6,906,1282,530,1
J8,766,7,946,1368,602,1

TT,TWT,T_max,NT,,,
4842,26015,602,16,,,
