Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J4,302,5,0,151,0,0
J15,388,6,4,198,0,0
J7,436,3,93,311,0,0
J10,408,5,125,367,0,0
J12,526,8,132,486,0,0
J3,586,8,196,549,0,0
J9,596,8,197,578,0,0
J6,688,10,270,687,0,0
J1,650,7,344,781,131,1
J18,648,8,381,877,229,1
J17,632,2,460,955,323,1
J20,610,2,462,1046,436,1
J11,600,4,515,1084,484,1
J19,572,6,593,1093,521,1
J14,544,3,672,1130,586,1
J2,494,4,732,1243,749,1
J13,474,8,768,1304,830,1
J8,486,7,866,1382,896,1
J5,440,7,933,1401,961,1
J16,404,5,997,1417,1013,1

TT,TWT,T_max,NT,,,
7159,38787,1013,12,,,
