Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J5,470,1.0,0,235.0,0,0
J10,230,1.0,9.0,243.0,13.0,1
J1,332,1.0,12.0,288.0,0,0
J18,444,1.0,27.0,331.0,0,0
J14,310,1.0,82.0,353.0,43.0,1
J16,374,1.0,112.0,409.0,35.0,1
J17,496,1.0,127.0,489.0,0,0
J19,500,1.0,215.0,526.0,26.0,1
J2,472,1.0,265.0,602.0,130.0,1
J15,432,1.0,329.0,645.0,213.0,1
J7,488,1.0,338.0,684.0,196.0,1
J9,476,1.0,365.0,723.0,247.0,1
J12,540,1.0,407.0,764.0,224.0,1
J4,536,1.0,461.0,830.0,294.0,1
J20,576,1.0,509.0,924.0,348.0,1
J13,472,1.0,566.0,969.0,497.0,1
J11,564,1.0,593.0,1087.0,523.0,1
J8,688,1.0,604.0,1162.0,474.0,1
J3,636,1.0,638.0,1224.0,588.0,1
J6,860,1.0,702.0,1341.0,481.0,1

TT,TWT,T_max,NT
4332.0,4332.0,588.0,16
