Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J12,252,1.0,0,126.0,0,0
J6,320,1.0,13.0,180.0,0,0
J17,412,1.0,53.0,276.0,0,0
J1,322,1.0,66.0,284.0,0,0
J2,466,1.0,100.0,396.0,0,0
J3,484,1.0,120.0,441.0,0,0
J16,598,1.0,177.0,539.0,0,0
J13,600,1.0,229.0,577.0,0,0
J7,638,1.0,307.0,636.0,0,0
J8,766,1.0,381.0,764.0,0,0
J4,518,1.0,475.0,819.0,301.0,1
J11,504,1.0,522.0,867.0,363.0,1
J9,504,1.0,608.0,1038.0,534.0,1
J19,752,1.0,617.0,1143.0,391.0,1
J20,590,1.0,657.0,1200.0,610.0,1
J5,540,1.0,717.0,1281.0,741.0,1
J18,578,1.0,779.0,1327.0,749.0,1
J15,566,1.0,849.0,1391.0,825.0,1
J14,534,1.0,932.0,1439.0,905.0,1
J10,518,1.0,978.0,1528.0,1010.0,1

TT,TWT,T_max,NT
6429.0,6429.0,1010.0,10
