Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J4,302,1.0,0,151.0,0,0
J10,408,1.0,4.0,208.0,0,0
J2,494,1.0,11.0,306.0,0,0
J18,648,1.0,47.0,443.0,0,0
J17,632,1.0,126.0,521.0,0,0
J1,650,1.0,128.0,615.0,0,0
J15,388,1.0,165.0,652.0,264.0,1
J3,586,1.0,254.0,715.0,129.0,1
J8,486,1.0,255.0,793.0,307.0,1
J7,436,1.0,322.0,847.0,411.0,1
J20,610,1.0,354.0,938.0,328.0,1
J16,404,1.0,407.0,954.0,550.0,1
J5,440,1.0,456.0,973.0,533.0,1
J13,474,1.0,520.0,1034.0,560.0,1
J19,572,1.0,618.0,1043.0,471.0,1
J12,526,1.0,697.0,1140.0,614.0,1
J14,544,1.0,761.0,1150.0,606.0,1
J11,600,1.0,821.0,1188.0,588.0,1
J9,596,1.0,899.0,1217.0,621.0,1
J6,688,1.0,972.0,1331.0,643.0,1

TT,TWT,T_max,NT
6625.0,6625.0,643.0,14
