Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J33,358,1.0,0,179.0,0,0
J44,870,1.0,3.0,471.0,0,0
J22,1034,1.0,8.0,558.0,0,0
J31,934,1.0,49.0,619.0,0,0
J2,1106,1.0,78.0,690.0,0,0
J45,718,1.0,118.0,723.0,5.0,1
J50,778,1.0,142.0,803.0,25.0,1
J30,664,1.0,241.0,846.0,182.0,1
J48,1174,1.0,283.0,965.0,0,0
J6,906,1.0,297.0,996.0,90.0,1
J42,970,1.0,356.0,1025.0,55.0,1
J27,1038,1.0,367.0,1087.0,49.0,1
J10,916,1.0,382.0,1094.0,178.0,1
J38,822,1.0,425.0,1136.0,314.0,1
J29,638,1.0,495.0,1158.0,520.0,1
J1,878,1.0,578.0,1239.0,361.0,1
J25,644,1.0,646.0,1263.0,619.0,1
J13,822,1.0,700.0,1268.0,446.0,1
J36,982,1.0,723.0,1324.0,342.0,1
J20,902,1.0,747.0,1445.0,543.0,1
J46,1116,1.0,803.0,1523.0,407.0,1
J15,850,1.0,855.0,1526.0,676.0,1
J5,862,1.0,952.0,1560.0,698.0,1
J23,1098,1.0,1039.0,1690.0,592.0,1
J7,824,1.0,1046.0,1701.0,877.0,1
J21,1028,1.0,1113.0,1768.0,740.0,1
J18,1140,1.0,1129.0,1865.0,725.0,1
J47,866,1.0,1136.0,1876.0,1010.0,1
J39,1084,1.0,1175.0,1951.0,867.0,1
J24,1098,1.0,1222.0,1976.0,878.0,1
J40,882,1.0,1296.0,2055.0,1173.0,1
J26,896,1.0,1374.0,2063.0,1167.0,1
J4,1212,1.0,1441.0,2163.0,951.0,1
J34,1078,1.0,1513.0,2174.0,1096.0,1
J49,854,1.0,1522.0,2224.0,1370.0,1
J28,928,1.0,1587.0,2281.0,1353.0,1
J35,1090,1.0,1672.0,2342.0,1252.0,1
J43,1090,1.0,1707.0,2348.0,1258.0,1
J32,1028,1.0,1767.0,2496.0,1468.0,1
J19,954,1.0,1831.0,2506.0,1552.0,1
J12,1074,1.0,1900.0,2559.0,1485.0,1
J37,1016,1.0,1990.0,2658.0,1642.0,1
J9,904,1.0,2062.0,2680.0,1776.0,1
J8,1132,1.0,2146.0,2784.0,1652.0,1
J16,1150,1.0,2235.0,2904.0,1754.0,1
J11,1288,1.0,2292.0,2986.0,1698.0,1
J17,1258,1.0,2384.0,3021.0,1763.0,1
J14,1128,1.0,2417.0,3083.0,1955.0,1
J41,1158,1.0,2437.0,3175.0,2017.0,1
J3,1424,1.0,2497.0,3364.0,1940.0,1

TT,TWT,T_max,NT
41521.0,41521.0,2017.0,44
