instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,20,5,1232,1278,4411,0,5.074199,3 17 9 15 14 8 16 13 1 19 6 7 11 5 4 2 10 20 12 18
2,20,5,1290,1359,5437,0,5.168596,15 3 19 14 10 9 2 16 4 17 12 8 18 20 11 7 5 1 13 6
3,20,5,1073,1081,4542,0,5.109995,3 15 14 13 16 19 11 2 4 20 18 5 10 12 9 17 6 8 1 7
4,20,5,1268,1293,4949,0,5.055765,13 17 18 14 4 9 16 11 7 20 2 3 8 12 6 19 15 10 1 5
5,20,5,1198,1236,4256,0,5.100856,3 5 10 12 1 19 9 7 4 20 17 15 16 11 8 18 13 6 14 2
6,20,5,1180,1195,3524,0,5.092762,14 2 20 11 13 5 3 8 17 6 7 16 18 1 9 12 19 4 15 10
7,20,5,1226,1239,4266,0,5.066675,10 13 14 2 16 15 1 9 12 17 18 7 4 20 19 11 3 8 6 5
8,20,5,1170,1206,4046,0,5.061774,12 6 17 1 2 3 9 11 10 14 5 20 4 15 16 18 19 7 13 8
9,20,5,1206,1230,4573,0,5.07747,4 10 2 8 16 7 3 5 15 20 17 19 13 1 14 9 12 6 11 18
10,20,5,1082,1108,3863,0,5.110661,11 7 16 5 15 19 12 18 9 20 13 1 17 6 10 14 3 8 4 2
