Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J3,486,0,243,0,0
J19,476,27,323,0,0
J14,184,70,332,148,1
J10,390,110,363,0,0
J17,492,155,439,0,0
J20,524,190,511,0,0
J12,548,240,582,34,1
J2,548,283,612,64,1
J16,514,321,663,149,1
J4,530,375,698,168,1
J8,536,463,731,195,1
J18,482,526,787,305,1
J6,492,585,885,393,1
J15,510,640,964,454,1
J11,604,677,1018,414,1
J7,572,763,1112,540,1
J5,604,817,1165,561,1
J1,640,912,1234,594,1
J13,696,938,1312,616,1
J9,564,981,1393,829,1

Status,TT,,,,
FEASIBLE,5464,,,,
