Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J4,302,5,0,151,0,0
J10,408,5,4,208,0,0
J2,494,4,11,306,0,0
J16,404,5,47,340,0,0
J3,586,8,96,439,0,0
J5,440,7,97,458,18,1
J12,526,8,161,555,29,1
J9,596,8,225,584,0,0
J13,474,8,298,645,171,1
J8,486,7,396,723,237,1
J1,650,7,463,817,167,1
J18,648,8,500,913,265,1
J19,572,6,579,922,350,1
J15,388,6,658,959,571,1
J7,436,3,747,1013,577,1
J6,688,10,779,1123,435,1
J11,600,4,853,1161,561,1
J14,544,3,931,1203,659,1
J20,610,2,991,1339,729,1
J17,632,2,1044,1422,790,1

TT,TWT,T_max,NT
5559,25540,790,14

Metric,Value
Objective optimized,NT
Runtime (s),0.6321516036987305
Iterations,10
k,4
Seed,42
