subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5705,27497,829,12,0.3602
20j_5m,instance_10.csv,5890,37867,886,12,0.3774
20j_5m,instance_2.csv,6744,33541,938,13,0.3737
20j_5m,instance_3.csv,5585,28933,786,13,0.3709
20j_5m,instance_4.csv,5609,26108,835,12,0.3218
20j_5m,instance_5.csv,6408,33346,797,12,0.4905
20j_5m,instance_6.csv,4780,28146,828,10,0.4201
20j_5m,instance_7.csv,5931,28227,866,13,0.3619
20j_5m,instance_8.csv,6019,32893,888,11,0.3358
20j_5m,instance_9.csv,5559,25540,790,14,0.2974
