subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,4570,23880,703,15,0.405
20j_5m,instance_10.csv,4165,24004,628,14,0.4558
20j_5m,instance_2.csv,5780,27680,821,17,0.5212
20j_5m,instance_3.csv,5094,27442,784,15,0.4217
20j_5m,instance_4.csv,5394,28191,701,15,0.4371
20j_5m,instance_5.csv,4618,23445,655,14,0.4783
20j_5m,instance_6.csv,3593,23144,619,12,0.5365
20j_5m,instance_7.csv,4567,29254,688,16,0.5148
20j_5m,instance_8.csv,4210,25301,602,14,0.4928
20j_5m,instance_9.csv,4808,29272,675,14,0.4168
