Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J49,768,7,0,384,0,0
J34,1018,3,14,523,0,0
J38,812,7,61,551,0,0
J6,1104,10,94,712,0,0
J17,1022,2,104,799,0,0
J43,1078,10,155,852,0,0
J15,734,6,194,930,196,1
J19,656,6,264,969,313,1
J22,1138,1,291,1051,0,0
J28,936,3,328,1125,189,1
J8,908,7,410,1178,270,1
J40,938,4,480,1206,268,1
J10,792,5,492,1265,473,1
J23,906,10,513,1286,380,1
J41,724,9,576,1331,607,1
J29,962,7,613,1364,402,1
J37,818,9,662,1367,549,1
J27,818,10,756,1455,637,1
J20,1226,2,761,1557,331,1
J9,914,8,808,1587,673,1
J21,670,5,850,1609,939,1
J2,812,4,880,1612,800,1
J44,926,9,957,1676,750,1
J30,1030,4,961,1729,699,1
J24,1026,6,972,1798,772,1
J4,844,5,1033,1885,1041,1
J42,956,2,1124,1887,931,1
J12,882,8,1171,1972,1090,1
J26,1232,1,1259,2031,799,1
J32,1218,3,1339,2100,882,1
J45,836,10,1417,2105,1269,1
J13,998,8,1467,2168,1170,1
J39,886,2,1558,2199,1313,1
J11,1204,4,1610,2298,1094,1
J14,722,3,1621,2319,1597,1
J46,1186,5,1699,2410,1224,1
J48,1154,4,1789,2455,1301,1
J16,1212,5,1835,2558,1346,1
J7,1102,3,1888,2633,1531,1
J1,1222,7,1946,2716,1494,1
J5,1230,7,1964,2776,1546,1
J47,1092,2,2060,2852,1760,1
J50,1124,8,2118,2856,1732,1
J33,1016,5,2202,2894,1878,1
J36,1152,5,2259,3024,1872,1
J3,1232,8,2351,3123,1891,1
J18,1250,8,2424,3175,1925,1
J31,1352,9,2520,3267,1915,1
J25,1500,9,2599,3379,1879,1
J35,1554,7,2672,3449,1895,1

TT,TWT,T_max,NT
45623,271522,1925,43

Metric,Value
Objective optimized,T_max
Runtime (s),14.650972843170166
Iterations,10
k,4
Seed,42
