Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J24,794,6,0,397,0,0
J38,848,7,26,493,0,0
J42,874,2,83,557,0,0
J11,880,4,111,634,0,0
J44,820,9,135,659,0,0
J3,724,8,169,764,40,1
J5,810,7,179,837,27,1
J41,862,9,210,861,0,0
J23,740,10,237,874,134,1
J26,910,1,291,970,60,1
J35,886,7,366,998,112,1
J33,952,5,440,1030,78,1
J45,686,10,487,1042,356,1
J39,970,2,505,1174,204,1
J22,1192,1,513,1203,11,1
J37,892,9,551,1254,362,1
J31,880,9,630,1320,440,1
J49,1006,7,694,1357,351,1
J12,898,8,722,1358,460,1
J15,840,6,790,1437,597,1
J28,838,3,860,1509,671,1
J27,972,10,898,1557,585,1
J20,962,2,957,1575,613,1
J40,888,4,1022,1675,787,1
J2,1288,4,1068,1809,521,1
J6,1152,10,1072,1867,715,1
J19,922,6,1124,1901,979,1
J47,1044,2,1221,1970,926,1
J29,1286,7,1295,2085,799,1
J34,944,3,1335,2130,1186,1
J43,1136,10,1397,2151,1015,1
J50,1124,8,1459,2188,1064,1
J7,904,3,1537,2189,1285,1
J17,1004,2,1572,2280,1276,1
J9,1050,8,1655,2381,1331,1
J1,1138,7,1683,2482,1344,1
J4,1096,5,1748,2488,1392,1
J25,1056,9,1835,2569,1513,1
J32,940,3,1875,2661,1721,1
J16,930,5,1959,2670,1740,1
J21,984,5,1961,2729,1745,1
J46,1300,5,2025,2815,1515,1
J30,1252,4,2088,2906,1654,1
J8,1170,7,2177,2914,1744,1
J13,1280,8,2266,3012,1732,1
J10,1040,5,2360,3109,2069,1
J14,1210,3,2405,3182,1972,1
J36,1376,5,2476,3246,1870,1
J18,1142,8,2514,3269,2127,1
J48,1288,4,2599,3383,2095,1

TT,TWT,T_max,NT
43218,241899,2127,44

Metric,Value
Objective optimized,TT
Runtime (s),6.755777597427368
Iterations,5
k,4
Seed,42
