Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J33,358,5,0,179,0,0
J44,870,9,3,471,0,0
J31,934,9,8,520,0,0
J25,644,9,37,544,0,0
J50,778,8,91,609,0,0
J45,718,10,190,659,0,0
J30,664,4,214,729,65,1
J16,1150,5,256,877,0,0
J27,1038,10,313,913,0,0
J38,822,7,328,955,133,1
J18,1140,8,398,1073,0,0
J29,638,7,405,1095,457,1
J13,822,8,488,1100,278,1
J49,854,7,511,1107,253,1
J23,1098,10,576,1278,180,1
J37,1016,9,583,1332,316,1
J9,904,8,655,1354,450,1
J41,1158,9,739,1399,241,1
J1,878,7,799,1498,620,1
J6,906,10,867,1529,623,1
J36,982,5,926,1563,581,1
J43,1090,10,950,1569,479,1
J35,1090,7,1010,1692,602,1
J19,954,6,1045,1707,753,1
J12,1074,8,1114,1813,739,1
J15,850,6,1204,1827,977,1
J10,916,5,1301,1912,996,1
J8,1132,7,1344,2050,918,1
J5,862,7,1433,2084,1222,1
J46,1116,5,1520,2185,1069,1
J3,1424,8,1572,2321,897,1
J7,824,3,1615,2332,1508,1
J4,1212,5,1682,2415,1203,1
J24,1098,6,1754,2440,1342,1
J40,882,4,1828,2499,1617,1
J2,1106,4,1906,2570,1464,1
J47,866,2,1946,2577,1711,1
J28,928,3,1985,2633,1705,1
J21,1028,5,2070,2750,1722,1
J34,1078,3,2086,2759,1681,1
J14,1128,3,2095,2854,1726,1
J32,1028,3,2115,2951,1923,1
J20,902,2,2179,3011,2109,1
J48,1174,4,2235,3086,1912,1
J11,1288,4,2249,3177,1889,1
J17,1258,2,2341,3212,1954,1
J42,970,2,2374,3253,2283,1
J39,1084,2,2385,3323,2239,1
J26,896,1,2432,3360,2464,1
J22,1034,1,2499,3508,2474,1

TT,TWT,T_max,NT
47775,191414,2474,41

Metric,Value
Objective optimized,TWT
Runtime (s),7.147300958633423
Iterations,5
k,4
Seed,42
