subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,52012,203685,2606,44,4.597
50j_10m,instance_10.csv,49361,191238,2558,43,6.0813
50j_10m,instance_2.csv,44122,175431,2320,42,11.6572
50j_10m,instance_3.csv,40628,163682,2132,42,5.5417
50j_10m,instance_4.csv,46979,187518,2432,43,6.873
50j_10m,instance_5.csv,47393,183821,2440,43,8.941
50j_10m,instance_6.csv,47142,185317,2635,45,5.237
50j_10m,instance_7.csv,49285,199943,2647,43,7.1291
50j_10m,instance_8.csv,48213,197713,2525,44,5.4922
50j_10m,instance_9.csv,47775,191414,2474,41,7.1473
