Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J49,768,7,0,384,0,0
J10,792,5,14,443,0,0
J15,734,6,35,531,0,0
J41,724,9,105,576,0,0
J14,722,3,142,612,0,0
J21,670,5,220,659,0,0
J37,818,9,250,701,0,0
J27,818,10,344,810,0,0
J13,998,8,349,873,0,0
J29,962,7,440,950,0,0
J7,1102,3,489,1089,0,0
J18,1250,8,547,1184,0,0
J31,1352,9,643,1319,0,0
J35,1554,7,722,1499,0,0
J25,1500,9,813,1618,118,1
J5,1230,7,886,1681,451,1
J26,1232,1,982,1766,534,1
J3,1232,8,1062,1865,633,1
J46,1186,5,1135,1944,758,1
J20,1226,2,1225,2037,811,1
J1,1222,7,1272,2120,898,1
J32,1218,3,1290,2189,971,1
J16,1212,5,1368,2261,1049,1
J11,1204,4,1421,2356,1152,1
J50,1124,8,1432,2360,1236,1
J48,1154,4,1516,2397,1243,1
J36,1152,5,1562,2506,1354,1
J22,1138,1,1654,2588,1450,1
J6,1104,10,1691,2680,1576,1
J43,1078,10,1701,2733,1655,1
J47,1092,2,1740,2809,1717,1
J33,1016,5,1798,2820,1804,1
J30,1030,4,1855,2873,1843,1
J24,1026,6,1866,2938,1912,1
J17,1022,2,1927,3025,2003,1
J34,1018,3,1978,3056,2038,1
J42,956,2,2025,3058,2102,1
J40,938,4,2072,3099,2161,1
J28,936,3,2084,3200,2264,1
J44,926,9,2166,3236,2310,1
J9,914,8,2170,3266,2352,1
J8,908,7,2212,3339,2431,1
J23,906,10,2282,3360,2454,1
J39,886,2,2345,3426,2540,1
J45,836,10,2397,3431,2595,1
J12,882,8,2447,3516,2634,1
J4,844,5,2535,3603,2759,1
J38,812,7,2626,3624,2812,1
J2,812,4,2659,3627,2815,1
J19,656,6,2736,3666,3010,1

TT,TWT,T_max,NT,,,
62445,346793,3010,36,,,
