Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J24,682,6,0,341,0,0
J4,800,5,2,417,0,0
J28,792,3,32,450,0,0
J16,690,5,46,520,0,0
J12,684,8,104,534,0,0
J14,852,3,107,575,0,0
J27,662,10,141,643,0,0
J8,654,7,149,665,11,1
J49,612,7,169,711,99,1
J15,706,6,207,731,25,1
J35,1008,7,288,829,0,0
J37,734,9,331,882,148,1
J39,718,2,424,902,184,1
J18,924,8,425,1002,78,1
J22,730,1,496,1013,283,1
J3,906,8,515,1111,205,1
J32,964,3,540,1186,222,1
J36,734,5,628,1238,504,1
J19,778,6,651,1258,480,1
J46,860,5,708,1309,449,1
J25,878,9,731,1355,477,1
J23,982,10,732,1379,397,1
J31,886,9,810,1428,542,1
J26,912,1,860,1487,575,1
J1,1058,7,938,1580,522,1
J11,866,4,1004,1636,770,1
J21,928,5,1064,1648,720,1
J2,988,4,1072,1752,764,1
J5,988,7,1118,1793,805,1
J40,1160,4,1135,1906,746,1
J30,986,4,1212,1928,942,1
J9,1024,8,1310,2046,1022,1
J6,1034,10,1383,2068,1034,1
J33,1110,5,1423,2144,1034,1
J29,1240,7,1451,2223,983,1
J10,874,5,1497,2258,1384,1
J45,886,10,1502,2337,1451,1
J43,1276,10,1559,2424,1148,1
J7,1000,3,1615,2427,1427,1
J41,1110,9,1632,2546,1436,1
J17,990,2,1686,2563,1573,1
J48,1050,4,1734,2575,1525,1
J50,1222,8,1822,2676,1454,1
J44,1270,9,1894,2734,1464,1
J34,1144,3,1948,2822,1678,1
J20,1240,2,2014,2907,1667,1
J13,1422,8,2019,2995,1573,1
J47,1294,2,2110,3093,1799,1
J38,1304,7,2128,3159,1855,1
J42,1402,2,2180,3237,1835,1

TT,TWT,T_max,NT,,,
37290,208912,1855,42,,,
