Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J6,1060,10,0,530,0,0
J12,1096,8,26,615,0,0
J24,1064,6,88,650,0,0
J9,1004,8,176,748,0,0
J1,968,7,206,845,0,0
J13,656,8,262,889,233,1
J11,868,4,285,955,87,1
J44,976,9,339,969,0,0
J46,1106,5,367,972,0,0
J37,1148,9,401,1147,0,0
J45,1052,10,451,1193,141,1
J33,1122,5,512,1291,169,1
J8,1018,7,560,1335,317,1
J47,1072,2,608,1429,357,1
J15,878,6,615,1497,619,1
J29,946,7,636,1557,611,1
J35,950,7,669,1651,701,1
J14,880,3,710,1706,826,1
J50,1324,8,753,1795,471,1
J21,560,5,822,1804,1244,1
J26,940,1,854,1895,955,1
J43,928,10,869,1967,1039,1
J2,1178,4,928,2047,869,1
J38,930,7,1006,2052,1122,1
J39,768,2,1019,2078,1310,1
J28,488,3,1093,2084,1596,1
J17,826,2,1104,2161,1335,1
J32,822,3,1123,2196,1374,1
J31,784,9,1197,2257,1473,1
J41,830,9,1266,2318,1488,1
J5,934,7,1357,2363,1429,1
J3,1050,8,1387,2379,1329,1
J48,966,4,1479,2433,1467,1
J40,828,4,1501,2467,1639,1
J34,870,3,1517,2518,1648,1
J20,892,2,1567,2563,1671,1
J25,986,9,1623,2582,1596,1
J36,914,5,1700,2639,1725,1
J7,918,3,1788,2675,1757,1
J27,964,10,1804,2750,1786,1
J22,1018,1,1852,2773,1755,1
J19,1064,6,1938,2801,1737,1
J42,1180,2,2018,2864,1684,1
J4,1026,5,2058,2904,1878,1
J30,1044,4,2124,2916,1872,1
J23,1094,10,2196,2950,1856,1
J49,1120,7,2281,2996,1876,1
J16,1248,5,2344,3091,1843,1
J18,1342,8,2442,3306,1964,1
J10,1370,5,2459,3388,2018,1

TT,TWT,T_max,NT,,,
52867,282885,2018,42,,,
