subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,44420,269598,2179,44,0.6471
50j_10m,instance_10.csv,45812,255699,2268,44,0.6803
50j_10m,instance_2.csv,40042,246132,2274,43,0.6759
50j_10m,instance_3.csv,37290,208912,1855,42,0.7974
50j_10m,instance_4.csv,42723,257613,2036,44,0.6519
50j_10m,instance_5.csv,42628,234938,2372,43,0.6845
50j_10m,instance_6.csv,44136,239986,2224,42,0.6279
50j_10m,instance_7.csv,45112,267910,2202,40,0.7019
50j_10m,instance_8.csv,42731,257564,2088,43,0.6424
50j_10m,instance_9.csv,43346,241646,2135,43,0.6284
