subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,47338,212232,2534,44,0.6641
50j_10m,instance_10.csv,49879,203300,2659,44,0.5899
50j_10m,instance_2.csv,42509,198247,2262,44,0.5876
50j_10m,instance_3.csv,41887,174192,2598,41,0.6353
50j_10m,instance_4.csv,45628,205410,2472,43,0.6231
50j_10m,instance_5.csv,47436,198591,2435,41,0.5859
50j_10m,instance_6.csv,49032,198031,2658,42,0.5791
50j_10m,instance_7.csv,47667,213896,2593,43,0.5905
50j_10m,instance_8.csv,47331,220115,2427,44,0.5873
50j_10m,instance_9.csv,48275,194415,2525,42,0.5847
