subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,NT,6976,42184,1060,12,0.02777409553527832
20j_5m,instance_10.csv,NT,6253,38024,991,12,0.028017044067382812
20j_5m,instance_2.csv,NT,7954,47768,1104,13,0.026935100555419922
20j_5m,instance_3.csv,NT,8367,47185,1120,13,0.026634931564331055
20j_5m,instance_4.csv,NT,7532,40243,1163,11,0.026430130004882812
20j_5m,instance_5.csv,NT,7365,38247,1119,11,0.026996850967407227
20j_5m,instance_6.csv,NT,8021,50302,1226,12,0.027945995330810547
20j_5m,instance_7.csv,NT,6831,43786,1117,11,0.02630925178527832
20j_5m,instance_8.csv,NT,6332,37059,955,11,0.026569843292236328
20j_5m,instance_9.csv,NT,7147,38962,1014,13,0.026709794998168945
50j_10m,instance_1.csv,NT,65228,343652,3011,38,0.6222620010375977
50j_10m,instance_10.csv,NT,62445,346793,3010,36,0.7233140468597412
50j_10m,instance_2.csv,NT,56544,344948,2975,35,0.6546323299407959
50j_10m,instance_3.csv,NT,59495,340604,3012,35,0.6374452114105225
50j_10m,instance_4.csv,NT,62401,386190,3092,36,0.7214510440826416
50j_10m,instance_5.csv,NT,62666,345898,3236,37,0.6681199073791504
50j_10m,instance_6.csv,NT,59812,313038,2860,37,0.6308717727661133
50j_10m,instance_7.csv,NT,62420,352704,3039,36,0.5947849750518799
50j_10m,instance_8.csv,NT,61192,369463,2929,37,0.591867208480835
50j_10m,instance_9.csv,NT,63343,356290,2911,39,0.6351170539855957
20j_5m,instance_1.csv,NT,6976,42184,1060,12,0.03414106369018555
20j_5m,instance_10.csv,NT,6253,38024,991,12,0.0344851016998291
20j_5m,instance_2.csv,NT,7954,47768,1104,13,0.029786348342895508
20j_5m,instance_3.csv,NT,8367,47185,1120,13,0.03349494934082031
20j_5m,instance_4.csv,NT,7532,40243,1163,11,0.040461063385009766
20j_5m,instance_5.csv,NT,7365,38247,1119,11,0.042058706283569336
20j_5m,instance_6.csv,NT,8021,50302,1226,12,0.03780102729797363
20j_5m,instance_7.csv,NT,6831,43786,1117,11,0.035939931869506836
20j_5m,instance_8.csv,NT,6332,37059,955,11,0.03640580177307129
20j_5m,instance_9.csv,NT,7147,38962,1014,13,0.03031325340270996
50j_10m,instance_1.csv,NT,65228,343652,3011,38,0.6758489608764648
50j_10m,instance_10.csv,NT,62445,346793,3010,36,0.6606321334838867
50j_10m,instance_2.csv,NT,56544,344948,2975,35,0.6020452976226807
50j_10m,instance_3.csv,NT,59495,340604,3012,35,0.6412942409515381
50j_10m,instance_4.csv,NT,62401,386190,3092,36,0.6061711311340332
50j_10m,instance_5.csv,NT,62666,345898,3236,37,0.6545259952545166
50j_10m,instance_6.csv,NT,59812,313038,2860,37,0.611008882522583
50j_10m,instance_7.csv,NT,62420,352704,3039,36,0.6683089733123779
50j_10m,instance_8.csv,NT,61192,369463,2929,37,0.66361403465271
50j_10m,instance_9.csv,NT,63343,356290,2911,39,0.6574158668518066
