instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,50,10,2907,3025,44300,9,0.78192,33 18 43 42 44 20 30 24 27 37 14 4 39 35 31 6 26 10 1 48 22 19 46 32 49 13 47 2 7 12 36 21 8 17 41 29 50 28 38 34 23 9 40 3 5 45 16 11 25 15
2,50,10,2821,2892,39515,16,0.898318,35 12 1 28 42 3 22 24 48 46 33 11 7 17 49 30 23 38 31 37 44 13 45 10 18 14 19 43 47 40 4 5 26 32 2 9 29 25 50 36 39 15 41 16 34 21 8 6 27 20
3,50,10,2801,2864,38113,17,0.822406,24 4 27 16 12 39 49 8 15 37 11 22 3 36 32 19 46 25 7 26 9 10 28 31 1 21 17 14 18 33 23 2 5 43 40 35 45 48 30 44 34 6 41 13 20 29 47 50 42 38
4,50,10,2968,3064,41397,17,0.755242,20 5 22 42 19 9 10 44 7 33 29 46 39 8 18 40 31 23 13 48 27 34 16 28 11 37 17 45 35 32 38 1 2 49 4 12 25 24 3 50 41 30 36 21 43 15 26 6 14 47
5,50,10,2908,2986,41045,11,0.820807,6 10 25 31 1 33 11 50 34 48 36 42 23 7 16 45 20 43 21 44 30 12 39 9 46 29 3 26 22 32 27 8 49 28 35 15 18 5 13 47 19 40 41 37 2 4 38 17 24 14
6,50,10,2941,3006,43661,34,0.854923,3 38 5 24 42 39 45 28 23 15 44 11 37 35 6 41 22 12 49 21 31 26 27 34 19 33 20 40 32 25 7 17 43 47 30 10 50 9 8 4 16 13 46 1 29 36 18 2 14 48
7,50,10,3062,3107,45794,11,0.779012,26 27 6 17 2 41 40 33 18 23 46 42 36 48 1 44 37 20 34 32 13 11 21 22 31 49 3 25 7 28 38 8 30 15 9 16 45 12 35 29 39 4 43 24 10 50 19 5 47 14
8,50,10,2959,3039,43248,18,0.718219,26 9 7 21 17 28 13 39 32 31 41 29 14 11 44 45 40 23 15 20 25 34 43 48 36 5 35 12 2 1 38 47 22 19 49 46 4 8 27 42 30 37 3 16 33 24 10 6 18 50
9,50,10,2795,2902,45846,10,0.755749,33 45 47 25 50 30 44 42 29 13 38 31 20 35 40 26 21 23 10 19 1 15 7 24 34 49 9 37 5 6 36 43 28 32 39 12 2 46 22 4 41 14 8 27 17 18 11 48 16 3
10,50,10,3046,3091,44113,12,0.745938,49 44 38 21 15 30 41 14 19 4 27 37 8 1 20 23 9 2 12 17 28 39 6 3 42 45 13 29 40 10 24 22 32 16 26 7 33 34 47 36 5 50 43 46 18 48 11 31 25 35
