Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J5,772,7,0,386,0,0
J42,746,2,7,399,0,0
J44,750,9,60,492,0,0
J9,706,8,90,503,0,0
J20,638,2,95,633,0,0
J19,816,6,97,672,0,0
J10,790,5,136,759,0,0
J13,846,8,170,809,0,0
J7,850,3,195,839,0,0
J48,1006,4,251,949,0,0
J12,1226,8,302,1104,0,0
J35,1204,7,380,1188,0,0
J15,1340,6,471,1260,0,0
J47,1632,2,544,1478,0,0
J43,1326,10,631,1507,181,1
J26,1224,1,721,1619,395,1
J14,1216,3,818,1783,567,1
J4,1204,5,849,1854,650,1
J2,1186,4,934,1922,736,1
J32,1150,3,944,2015,865,1
J38,1148,7,999,2047,899,1
J11,1144,4,1077,2103,959,1
J1,1140,7,1149,2197,1057,1
J41,1122,9,1198,2282,1160,1
J21,1116,5,1236,2359,1243,1
J30,1052,4,1291,2399,1347,1
J6,1062,10,1362,2442,1380,1
J23,1060,10,1385,2571,1511,1
J49,1056,7,1409,2574,1518,1
J16,1042,5,1434,2627,1585,1
J25,1050,9,1503,2637,1587,1
J36,1048,5,1522,2719,1671,1
J40,1042,4,1580,2836,1794,1
J50,1016,8,1633,2857,1841,1
J24,986,6,1683,2877,1891,1
J28,980,3,1702,2967,1987,1
J17,974,2,1751,2994,2020,1
J22,978,1,1769,3114,2136,1
J39,972,2,1802,3187,2215,1
J34,964,3,1862,3262,2298,1
J3,942,8,1935,3301,2359,1
J31,956,9,1965,3375,2419,1
J27,926,10,1967,3393,2467,1
J8,936,7,2065,3499,2563,1
J45,932,10,2158,3512,2580,1
J37,896,9,2172,3618,2722,1
J18,872,8,2205,3668,2796,1
J33,842,5,2220,3741,2899,1
J46,844,5,2257,3855,3011,1
J29,836,7,2310,3928,3092,1

TT,TWT,T_max,NT,,,
62401,386190,3092,36,,,
