subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,NT,6976,42184,1060,12,0.027438879013061523
20j_5m,instance_10.csv,NT,6253,38024,991,12,0.02960491180419922
20j_5m,instance_2.csv,NT,7954,47768,1104,13,0.027708053588867188
20j_5m,instance_3.csv,NT,8367,47185,1120,13,0.0269167423248291
20j_5m,instance_4.csv,NT,7532,40243,1163,11,0.02723097801208496
20j_5m,instance_5.csv,NT,7365,38247,1119,11,0.026537179946899414
20j_5m,instance_6.csv,NT,8021,50302,1226,12,0.027704954147338867
20j_5m,instance_7.csv,NT,6831,43786,1117,11,0.029438018798828125
20j_5m,instance_8.csv,NT,6332,37059,955,11,0.02701401710510254
20j_5m,instance_9.csv,NT,7147,38962,1014,13,0.026930809020996094
50j_10m,instance_1.csv,NT,65228,343652,3011,38,0.6142568588256836
50j_10m,instance_10.csv,NT,62445,346793,3010,36,0.8512487411499023
50j_10m,instance_2.csv,NT,56544,344948,2975,35,0.6388399600982666
50j_10m,instance_3.csv,NT,59495,340604,3012,35,0.5861649513244629
50j_10m,instance_4.csv,NT,62401,386190,3092,36,0.5797789096832275
50j_10m,instance_5.csv,NT,62666,345898,3236,37,0.5811882019042969
50j_10m,instance_6.csv,NT,59812,313038,2860,37,0.5830168724060059
50j_10m,instance_7.csv,NT,62420,352704,3039,36,0.5845000743865967
50j_10m,instance_8.csv,NT,61192,369463,2929,37,0.5800440311431885
50j_10m,instance_9.csv,NT,63343,356290,2911,39,0.5806500911712646
