Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J1,396,7,0,198,0,0
J2,732,4,61,427,0,0
J3,236,8,147,483,247,1
J4,582,5,163,567,0,0
J5,210,7,205,589,379,1
J6,682,10,219,653,0,0
J7,502,3,311,696,194,1
J8,358,7,378,746,388,1
J9,524,8,455,808,284,1
J10,380,5,501,869,489,1
J11,618,4,542,879,261,1
J12,348,8,620,966,618,1
J13,558,8,623,1065,507,1
J14,632,3,695,1105,473,1
J15,554,6,790,1196,642,1
J16,692,5,843,1260,568,1
J17,556,2,902,1322,766,1
J18,496,8,936,1375,879,1
J19,468,6,1002,1408,940,1
J20,412,2,1044,1431,1019,1

TT,TWT,T_max,NT,,,
8654,47041,1019,16,,,
