instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,50,10,2907,3025,40081,0,215.582811,42 33 20 44 18 37 22 49 24 13 34 36 31 39 2 48 14 12 6 43 19 21 32 30 1 26 45 27 46 50 41 17 7 35 10 29 4 8 47 16 28 38 3 23 25 11 40 5 9 15
2,50,10,2821,2892,36936,0,218.216819,35 49 3 33 42 11 46 1 24 10 7 17 23 31 44 22 50 48 28 40 14 38 47 18 30 2 26 32 12 15 43 9 27 45 29 19 36 25 34 13 5 41 4 21 8 6 37 20 16 39
3,50,10,2801,2864,35320,0,212.480644,24 4 28 10 12 14 49 15 8 37 39 22 16 3 45 27 36 32 25 1 19 46 5 26 7 35 11 23 31 2 17 9 21 30 6 33 43 48 34 40 18 29 50 44 41 13 47 38 42 20
4,50,10,2968,3064,39164,0,226.188875,20 5 10 22 31 13 9 42 46 19 40 18 48 37 33 29 8 17 39 45 34 23 25 27 44 7 36 16 28 11 3 35 30 21 24 50 41 4 32 1 2 6 38 12 15 14 43 49 26 47
5,50,10,2908,2986,39109,0,217.798794,33 42 48 25 6 30 1 10 36 31 23 20 44 35 39 45 50 46 7 40 13 21 43 34 3 49 8 32 12 15 9 11 29 26 38 22 27 19 41 18 2 28 24 16 47 4 37 5 14 17
6,50,10,2941,3006,39588,0,218.848879,3 11 45 39 44 24 5 23 42 41 28 27 12 49 38 40 31 1 20 34 16 15 50 9 7 32 33 10 19 25 21 35 29 22 4 26 48 37 2 14 43 6 8 17 13 47 30 46 36 18
7,50,10,3062,3107,41376,0,223.548386,37 26 41 33 49 40 1 17 18 42 48 23 20 13 27 6 28 2 11 46 16 38 44 22 34 32 29 9 30 25 21 50 4 31 12 8 36 10 35 15 45 3 24 43 7 19 5 14 47 39
8,50,10,2959,3039,40799,0,210.74566,26 28 9 21 13 17 32 15 41 29 14 1 6 44 40 23 4 39 38 5 20 11 25 34 31 7 43 42 48 36 22 19 8 27 2 12 24 35 46 45 33 49 30 47 37 3 16 10 18 50
9,50,10,2795,2902,40561,0,212.941623,33 44 47 45 30 6 42 31 20 10 29 1 22 27 36 13 32 46 15 5 23 7 21 18 26 39 49 40 35 19 25 50 48 16 41 14 38 43 24 37 9 12 34 28 2 8 11 17 4 3
10,50,10,3046,3091,40536,0,222.506177,44 49 38 21 19 41 15 27 28 39 8 9 29 40 10 23 2 33 17 24 42 12 1 48 45 43 14 6 50 4 22 7 37 30 13 20 16 26 34 11 5 47 31 18 46 32 36 3 25 35
