Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,41020,39.3981,40401,218.1508,44300,0.8078
2,39238,42.4485,36936,216.3905,39515,0.9197
3,35885,38.8812,35320,219.9499,38113,0.9025
4,40586,50.6412,39550,230.2068,41397,0.8666
5,40393,54.4094,39109,219.5229,41045,0.8973
6,41202,47.4612,39588,220.2945,43661,0.8743
7,42256,45.371,41376,222.6025,45794,0.9876
8,42114,43.2948,40799,211.6907,43248,0.8927
9,41104,43.2001,40561,212.9211,45846,0.8863
10,41521,49.0835,40548,229.4064,44113,0.8172
