Instance,HEUR_TT,HEUR_time,TMIG_TT,TMIG_time,NEHEDD_IT1_TT,NEHEDD_IT1_time
1,199251,54.0148,222522,202.8377,207629,0.8681
2,174072,61.2589,224634,204.379,200463,0.9091
3,163847,50.8051,197039,202.6061,177896,0.9052
4,188014,58.5111,224987,203.8896,216674,0.8502
5,179502,57.5406,203585,202.3644,183827,0.9295
6,181545,60.6213,214408,202.5412,188379,0.9521
7,197324,65.0839,240218,203.5398,215994,1.1026
8,197766,58.7169,251822,202.2757,227882,0.844
9,189506,65.1197,215895,202.3791,196638,0.9275
10,189609,82.4595,232602,202.8867,202376,0.8625
