Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J18,860,8,0,430,0,0
J22,910,1,13,493,0,0
J44,754,9,15,605,0,0
J24,788,6,53,627,0,0
J20,928,2,97,732,0,0
J42,672,2,116,783,111,1
J43,1026,10,118,886,0,0
J27,630,10,162,920,290,1
J30,806,4,181,922,116,1
J1,866,7,254,946,80,1
J14,994,3,300,1034,40,1
J37,834,9,361,1091,257,1
J8,952,7,387,1114,162,1
J39,830,2,411,1124,294,1
J31,962,9,469,1192,230,1
J6,984,10,554,1241,257,1
J26,916,1,564,1293,377,1
J25,974,9,637,1322,348,1
J48,890,4,644,1384,494,1
J16,1118,5,705,1499,381,1
J49,934,7,752,1540,606,1
J29,1008,7,784,1599,591,1
J32,924,3,796,1683,759,1
J13,1050,8,819,1747,697,1
J35,970,7,914,1758,788,1
J12,984,8,1002,1801,817,1
J10,1020,5,1051,1851,831,1
J21,998,5,1126,1901,903,1
J41,976,9,1224,1963,987,1
J36,1014,5,1231,2056,1042,1
J2,1056,4,1239,2103,1047,1
J7,944,3,1291,2127,1183,1
J46,1138,5,1335,2214,1076,1
J28,1096,3,1411,2301,1205,1
J19,936,6,1480,2312,1376,1
J11,1222,4,1491,2405,1183,1
J45,1130,10,1557,2416,1286,1
J4,1114,5,1581,2511,1397,1
J50,1150,8,1626,2549,1399,1
J3,1140,8,1716,2636,1496,1
J23,1304,10,1795,2696,1392,1
J47,1044,2,1880,2756,1712,1
J40,1258,4,1965,2858,1600,1
J15,1332,6,2028,2952,1620,1
J38,1140,7,2047,3036,1896,1
J34,946,3,2089,3052,2106,1
J33,860,5,2105,3125,2265,1
J17,1194,2,2158,3205,2011,1
J5,1292,7,2242,3246,1954,1
J9,1332,8,2339,3329,1997,1

TT,TWT,T_max,NT
42659,242158,2265,44

Metric,Value
Objective optimized,TT
Runtime (s),9.664021015167236
Iterations,5
k,4
Seed,42
