Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J35,782,7,0,391,0,0
J12,1110,8,1,605,0,0
J1,758,7,20,611,0,0
J23,840,10,32,681,0,0
J44,880,9,44,695,0,0
J50,852,8,95,790,0,0
J27,1018,10,114,796,0,0
J45,968,10,166,841,0,0
J3,722,8,235,868,146,1
J49,828,7,253,963,135,1
J31,956,9,265,1027,71,1
J24,738,6,332,1049,311,1
J13,1014,8,352,1098,84,1
J38,896,7,446,1172,276,1
J25,988,9,468,1200,212,1
J43,1038,10,529,1223,185,1
J46,742,5,572,1294,552,1
J9,952,8,599,1380,428,1
J41,1096,9,634,1446,350,1
J28,834,3,713,1532,698,1
J18,978,8,775,1542,564,1
J6,1132,10,783,1654,522,1
J37,1100,9,859,1704,604,1
J48,634,4,925,1710,1076,1
J40,1012,4,1001,1744,732,1
J11,844,4,1060,1816,972,1
J5,992,7,1136,1838,846,1
J29,1114,7,1178,1932,818,1
J14,882,3,1263,2007,1125,1
J7,810,3,1356,2023,1213,1
J10,846,5,1369,2115,1269,1
J15,990,6,1402,2130,1140,1
J2,1062,4,1466,2141,1079,1
J33,828,5,1538,2237,1409,1
J19,1232,6,1556,2315,1083,1
J8,1334,7,1622,2385,1051,1
J4,1168,5,1704,2456,1288,1
J36,1210,5,1789,2498,1288,1
J30,1004,4,1881,2543,1539,1
J32,1038,3,1948,2623,1585,1
J42,698,2,2016,2655,1957,1
J47,912,2,2041,2686,1774,1
J21,1234,5,2074,2809,1575,1
J16,1282,5,2114,2890,1608,1
J17,938,2,2196,2934,1996,1
J34,1120,3,2256,3028,1908,1
J22,726,1,2266,3046,2320,1
J26,926,1,2277,3124,2198,1
J20,1174,2,2349,3231,2057,1
J39,1240,2,2405,3318,2078,1

TT,TWT,T_max,NT
44122,175431,2320,42

Metric,Value
Objective optimized,TWT
Runtime (s),7.010468006134033
Iterations,5
k,4
Seed,42
