Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J35,782,7,0,391,0,0
J12,1110,8,1,605,0,0
J49,828,7,20,700,0,0
J1,758,7,32,706,0,0
J23,840,10,44,776,0,0
J44,880,9,56,790,0,0
J11,844,4,107,847,3,1
J18,978,8,183,857,0,0
J20,1174,2,191,937,0,0
J38,896,7,247,989,93,1
J9,952,8,269,1074,122,1
J5,992,7,304,1078,86,1
J31,956,9,346,1157,201,1
J43,1038,10,413,1168,130,1
J45,968,10,456,1213,245,1
J29,1114,7,525,1307,193,1
J37,1100,9,610,1357,257,1
J3,722,8,676,1384,662,1
J25,988,9,694,1434,446,1
J33,828,5,755,1530,702,1
J4,1168,5,773,1601,433,1
J39,1240,2,858,1654,414,1
J24,738,6,953,1676,938,1
J50,852,8,973,1771,919,1
J6,1132,10,992,1844,712,1
J41,1096,9,1068,1910,814,1
J27,1018,10,1147,1916,898,1
J15,990,6,1199,1931,941,1
J10,846,5,1263,2023,1177,1
J40,1012,4,1296,2054,1042,1
J13,1014,8,1355,2103,1089,1
J46,742,5,1449,2135,1393,1
J36,1210,5,1476,2187,977,1
J22,726,1,1568,2205,1479,1
J42,698,2,1579,2254,1556,1
J48,634,4,1604,2260,1626,1
J47,912,2,1680,2296,1384,1
J34,1120,3,1713,2401,1281,1
J21,1234,5,1723,2493,1259,1
J2,1062,4,1763,2504,1442,1
J17,938,2,1835,2553,1615,1
J14,882,3,1895,2630,1748,1
J7,810,3,1988,2646,1836,1
J28,834,3,2001,2752,1918,1
J26,926,1,2063,2830,1904,1
J30,1004,4,2135,2875,1871,1
J32,1038,3,2202,2955,1917,1
J19,1232,6,2270,3033,1801,1
J16,1282,5,2336,3097,1815,1
J8,1334,7,2418,3160,1826,1

TT,TWT,T_max,NT
43165,197251,1918,42

Metric,Value
Objective optimized,T_max
Runtime (s),7.063360929489136
Iterations,5
k,4
Seed,42
