Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J20,638,2,0,319,0,0
J5,772,7,2,426,0,0
J37,896,9,9,501,0,0
J2,1186,4,42,693,0,0
J13,846,8,52,716,0,0
J44,750,9,77,797,47,1
J11,1144,4,107,853,0,0
J31,956,9,179,927,0,0
J23,1060,10,181,1026,0,0
J36,1048,5,205,1035,0,0
J38,1148,7,263,1120,0,0
J47,1632,2,341,1299,0,0
J9,706,8,428,1305,599,1
J18,872,8,433,1331,459,1
J29,836,7,448,1405,569,1
J40,1042,4,543,1488,446,1
J10,790,5,596,1544,754,1
J1,1140,7,630,1619,479,1
J45,932,10,679,1632,700,1
J41,1122,9,693,1711,589,1
J8,936,7,731,1754,818,1
J6,1062,10,824,1797,735,1
J27,926,10,847,1815,889,1
J33,842,5,945,1843,1001,1
J46,844,5,982,1957,1113,1
J14,1216,3,1035,2052,836,1
J25,1050,9,1066,2062,1012,1
J21,1116,5,1085,2168,1052,1
J4,1204,5,1140,2247,1043,1
J24,986,6,1225,2267,1281,1
J35,1204,7,1244,2351,1147,1
J28,980,3,1335,2404,1424,1
J26,1224,1,1384,2423,1199,1
J49,1056,7,1481,2426,1370,1
J3,942,8,1506,2497,1555,1
J50,1016,8,1536,2518,1502,1
J16,1042,5,1586,2588,1546,1
J12,1226,8,1655,2680,1454,1
J19,816,6,1733,2698,1882,1
J15,1340,6,1772,2758,1418,1
J34,964,3,1845,2833,1869,1
J32,1150,3,1918,2926,1776,1
J43,1326,10,1973,2927,1601,1
J17,974,2,2063,2967,1993,1
J42,746,2,2081,2980,2234,1
J7,850,3,2134,3007,2157,1
J30,1052,4,2190,3099,2047,1
J48,1006,4,2261,3197,2191,1
J39,972,2,2312,3296,2324,1
J22,978,1,2372,3360,2382,1

TT,TWT,T_max,NT
49493,248951,2382,39

Metric,Value
Objective optimized,NT
Runtime (s),5.684206008911133
Iterations,5
k,4
Seed,42
