subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5859,5859,719,12,0.4627079963684082
20j_5m,instance_10.csv,4637,4637,703,12,0.3529672622680664
20j_5m,instance_2.csv,7104,7104,912,13,0.4302191734313965
20j_5m,instance_3.csv,7524,7524,844,13,0.35280275344848633
20j_5m,instance_4.csv,6212,6212,847,11,0.42686986923217773
20j_5m,instance_5.csv,6200,6200,756,11,0.37804412841796875
20j_5m,instance_6.csv,4263,4263,671,11,0.3791790008544922
20j_5m,instance_7.csv,6613,6613,905,12,0.3608250617980957
20j_5m,instance_8.csv,5431,5431,718,11,0.41385507583618164
20j_5m,instance_9.csv,6010,6010,765,13,0.44893479347229004
50j_10m,instance_1.csv,49069,49069,2450,37,6.615102052688599
50j_10m,instance_10.csv,49180,49180,2185,36,5.448440790176392
50j_10m,instance_2.csv,44174,44174,2073,38,5.703893184661865
50j_10m,instance_3.csv,51384,51384,2451,37,6.9476158618927
50j_10m,instance_4.csv,51419,51419,2404,37,7.922187089920044
50j_10m,instance_5.csv,43702,43702,2082,39,5.865998029708862
50j_10m,instance_6.csv,51444,51444,2372,37,7.629618883132935
50j_10m,instance_7.csv,53951,53951,2208,40,5.850575685501099
50j_10m,instance_8.csv,49388,49388,2204,37,6.497068166732788
50j_10m,instance_9.csv,50947,50947,2199,38,5.755321025848389
20j_5m,instance_1.csv,5859,5859,719,12,0.39485692977905273
20j_5m,instance_10.csv,4637,4637,703,12,0.3433506488800049
20j_5m,instance_2.csv,7104,7104,912,13,0.4945559501647949
20j_5m,instance_3.csv,7524,7524,844,13,0.37610507011413574
20j_5m,instance_4.csv,6212,6212,847,11,0.704876184463501
20j_5m,instance_5.csv,6200,6200,756,11,0.46019697189331055
20j_5m,instance_6.csv,4263,4263,671,11,0.43392205238342285
20j_5m,instance_7.csv,6613,6613,905,12,0.38622307777404785
20j_5m,instance_8.csv,5431,5431,718,11,0.4595150947570801
20j_5m,instance_9.csv,6010,6010,765,13,0.5034928321838379
50j_10m,instance_1.csv,49069,49069,2450,37,7.022775888442993
50j_10m,instance_10.csv,49180,49180,2185,36,5.70144510269165
50j_10m,instance_2.csv,44174,44174,2073,38,5.723401784896851
50j_10m,instance_3.csv,51384,51384,2451,37,7.260982036590576
50j_10m,instance_4.csv,51419,51419,2404,37,9.62626600265503
50j_10m,instance_5.csv,43702,43702,2082,39,8.629012107849121
50j_10m,instance_6.csv,51444,51444,2372,37,5.311485767364502
50j_10m,instance_7.csv,53951,53951,2208,40,5.819387912750244
50j_10m,instance_8.csv,49388,49388,2204,37,6.41975998878479
50j_10m,instance_9.csv,50947,50947,2199,38,5.86128306388855
20j_5m,instance_1.csv,5705,27497,829,12,0.38330912590026855
20j_5m,instance_10.csv,5890,37867,886,12,0.37886691093444824
20j_5m,instance_2.csv,6744,33541,938,13,0.3478398323059082
20j_5m,instance_3.csv,5585,28933,786,13,0.39229488372802734
20j_5m,instance_4.csv,5609,26108,835,12,0.30042171478271484
20j_5m,instance_5.csv,6408,33346,797,12,0.4521181583404541
20j_5m,instance_6.csv,4780,28146,828,10,0.4267430305480957
20j_5m,instance_7.csv,5931,28227,866,13,0.3808169364929199
20j_5m,instance_8.csv,6019,32893,888,11,0.35373997688293457
20j_5m,instance_9.csv,5559,25540,790,14,0.31421422958374023
50j_10m,instance_1.csv,47693,242514,2511,39,5.29719090461731
50j_10m,instance_10.csv,48156,202506,2542,40,5.7151038646698
50j_10m,instance_2.csv,47129,233608,2261,37,5.7818310260772705
50j_10m,instance_3.csv,49578,277060,2468,36,6.970103025436401
50j_10m,instance_4.csv,49493,248951,2382,39,7.138123035430908
50j_10m,instance_5.csv,50827,243351,2408,40,6.160365104675293
50j_10m,instance_6.csv,51061,258824,2538,37,7.296696901321411
50j_10m,instance_7.csv,51323,246115,2537,39,4.967898845672607
50j_10m,instance_8.csv,48511,216475,2485,40,5.162556886672974
50j_10m,instance_9.csv,49530,247415,2485,38,5.875617027282715
20j_5m,instance_1.csv,5705,27497,829,12,0.46440887451171875
20j_5m,instance_10.csv,5890,37867,886,12,0.3960151672363281
20j_5m,instance_2.csv,6744,33541,938,13,0.3922879695892334
20j_5m,instance_3.csv,5585,28933,786,13,0.3949391841888428
20j_5m,instance_4.csv,5609,26108,835,12,0.32515406608581543
20j_5m,instance_5.csv,6408,33346,797,12,0.4708218574523926
20j_5m,instance_6.csv,4780,28146,828,10,0.49226808547973633
20j_5m,instance_7.csv,5931,28227,866,13,0.4032719135284424
20j_5m,instance_8.csv,6019,32893,888,11,0.37578797340393066
20j_5m,instance_9.csv,5559,25540,790,14,0.3313779830932617
50j_10m,instance_1.csv,47693,242514,2511,39,5.185797691345215
50j_10m,instance_10.csv,48156,202506,2542,40,5.9409871101379395
50j_10m,instance_2.csv,47129,233608,2261,37,5.998237133026123
50j_10m,instance_3.csv,49578,277060,2468,36,6.278808116912842
50j_10m,instance_4.csv,49493,248951,2382,39,5.684206008911133
50j_10m,instance_5.csv,50827,243351,2408,40,6.4521331787109375
50j_10m,instance_6.csv,51061,258824,2538,37,6.434396743774414
50j_10m,instance_7.csv,51323,246115,2537,39,5.3159801959991455
50j_10m,instance_8.csv,48511,216475,2485,40,5.420843124389648
50j_10m,instance_9.csv,49530,247415,2485,38,6.1804869174957275
