Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,640,978,1516,876,1
2,548,940,1447,899,1
3,486,913,1417,931,1
4,530,825,1356,826,1
5,604,687,1243,639,1
6,492,632,1190,698,1
7,572,578,1092,520,1
8,536,515,998,462,1
9,564,406,911,347,1
10,390,318,714,324,1
11,604,429,965,361,1
12,548,363,813,265,1
13,696,782,1321,625,1
14,184,93,351,167,1
15,510,281,683,173,1
16,514,227,553,39,1
17,492,192,485,0,0
18,482,133,407,0,0
19,476,50,342,0,0
20,524,0,262,0,0
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
FEASIBLE,8152,0.1424,77.47,1837.0,8152.0
