Dataset,Instance,Status,TT,Temps (s),Gap (%),BestBound,Objective,Sequence
20j_5m,instance_1.csv,UNKNOWN,,159.9777,,,,
20j_5m,instance_10.csv,UNKNOWN,,0.9042,,,,
20j_5m,instance_2.csv,UNKNOWN,,0.0992,,,,
20j_5m,instance_3.csv,UNKNOWN,,0.1857,,,,
20j_5m,instance_4.csv,UNKNOWN,,0.0268,,,,
20j_5m,instance_5.csv,UNKNOWN,,0.0670,,,,
20j_5m,instance_6.csv,UNKNOWN,,0.0546,,,,
20j_5m,instance_7.csv,UNKNOWN,,0.0398,,,,
20j_5m,instance_8.csv,UNKNOWN,,0.0547,,,,
20j_5m,instance_9.csv,UNKNOWN,,0.0476,,,,
20j_5m,instance_1.csv,FEASIBLE,4442,3601.1529,90.03,443.0,4442.0,3 15 17 9 13 8 14 19 20 1 16 6 7 11 5 4 10 12 2 18
20j_5m,instance_10.csv,FEASIBLE,3930,442.8611,91.81,322.0,3930.0,5 11 7 16 9 18 19 15 12 17 6 10 14 20 13 1 2 8 3 4
20j_5m,instance_2.csv,FEASIBLE,8406,0.6502,99.31,58.0,8406.0,20 19 18 17 16 15 14 13 5 3 7 12 11 6 10 4 9 8 2 1
20j_5m,instance_3.csv,FEASIBLE,7982,0.3217,100.00,0.0,7982.0,20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 2 3 1
20j_5m,instance_4.csv,FEASIBLE,7892,0.3586,100.00,0.0,7892.0,20 18 17 19 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
20j_5m,instance_5.csv,FEASIBLE,8426,0.3416,100.00,0.0,8426.0,20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
20j_5m,instance_6.csv,FEASIBLE,10106,0.2794,99.43,58.0,10106.0,5 3 20 17 6 1 7 16 8 10 12 4 9 2 11 13 14 15 18 19
20j_5m,instance_7.csv,FEASIBLE,7885,0.2641,100.00,0.0,7885.0,20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
20j_5m,instance_8.csv,FEASIBLE,9906,0.1849,100.00,0.0,9906.0,20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
20j_5m,instance_9.csv,UNKNOWN,,0.1382,,,,
20j_5m,instance_1.csv,FEASIBLE,4457,3600.8692,89.86,452.0,4457.0,3 17 9 15 14 8 19 1 2 13 7 12 11 6 5 4 10 20 16 18
