Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J3,236,8,0,118,0,0
J5,210,7,16,140,0,0
J12,348,8,30,235,0,0
J8,358,7,33,285,0,0
J10,380,5,110,346,0,0
J1,396,7,151,401,5,1
J19,468,6,212,446,0,0
J9,524,8,254,536,12,1
J18,496,8,300,589,93,1
J4,582,5,366,673,91,1
J13,558,8,408,772,214,1
J6,682,10,480,823,141,1
J15,554,6,572,914,360,1
J16,692,5,625,978,286,1
J11,618,4,684,1010,392,1
J7,502,3,762,1084,582,1
J2,732,4,829,1195,463,1
J14,632,3,915,1263,631,1
J17,556,2,1010,1328,772,1
J20,412,2,1044,1368,956,1

TT,TWT,T_max,NT
4998,18557,956,14

Metric,Value
Objective optimized,TWT
Runtime (s),1.2870190143585205
Iterations,10
d,10
Seed,42
