Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J18,860,8,0,430,0,0
J44,754,9,13,505,0,0
J49,934,7,51,577,0,0
J24,788,6,83,599,0,0
J20,928,2,127,707,0,0
J42,672,2,146,758,86,1
J14,994,3,148,871,0,0
J31,962,9,209,909,0,0
J25,974,9,294,921,0,0
J27,630,10,301,955,325,1
J21,998,5,320,978,0,0
J11,1222,4,418,1071,0,0
J17,1194,2,484,1184,0,0
J12,984,8,568,1233,249,1
J6,984,10,617,1314,330,1
J43,1026,10,627,1420,394,1
J30,806,4,671,1422,616,1
J1,866,7,744,1455,589,1
J37,834,9,790,1531,697,1
J50,1150,8,816,1578,428,1
J35,970,7,906,1640,670,1
J41,976,9,994,1713,737,1
J13,1050,8,1001,1806,756,1
J38,1140,7,1096,1917,777,1
J39,830,2,1138,1927,1097,1
J48,890,4,1196,1948,1058,1
J8,952,7,1257,1971,1019,1
J19,936,6,1281,1982,1046,1
J46,1138,5,1292,2077,939,1
J32,924,3,1368,2161,1237,1
J33,860,5,1391,2223,1363,1
J29,1008,7,1444,2282,1274,1
J28,1096,3,1456,2369,1273,1
J3,1140,8,1525,2408,1268,1
J5,1292,7,1604,2449,1157,1
J10,1020,5,1701,2499,1479,1
J4,1114,5,1776,2613,1499,1
J23,1304,10,1821,2639,1335,1
J9,1332,8,1906,2737,1405,1
J15,1332,6,1991,2831,1499,1
J7,944,3,2010,2855,1911,1
J36,1014,5,2054,2954,1940,1
J2,1056,4,2062,3001,1945,1
J45,1130,10,2114,3012,1882,1
J40,1258,4,2138,3116,1858,1
J16,1118,5,2201,3213,2095,1
J34,946,3,2248,3223,2277,1
J26,916,1,2264,3286,2370,1
J47,1044,2,2337,3346,2302,1
J22,910,1,2422,3421,2511,1

TT,TWT,T_max,NT
47693,242514,2511,39

Metric,Value
Objective optimized,NT
Runtime (s),7.6529810428619385
Iterations,10
k,4
Seed,42
