Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J35,782,7,0,391,0,0
J12,1110,8,1,605,0,0
J3,722,8,20,632,0,0
J1,758,7,38,638,0,0
J24,738,6,50,660,0,0
J50,852,8,70,755,0,0
J42,698,2,89,785,87,1
J22,726,1,114,803,77,1
J49,828,7,125,898,70,1
J38,896,7,137,950,54,1
J23,840,10,159,1020,180,1
J15,990,6,171,1035,45,1
J48,634,4,235,1041,407,1
J11,844,4,311,1102,258,1
J46,742,5,387,1134,392,1
J40,1012,4,414,1165,153,1
J33,828,5,473,1261,433,1
J4,1168,5,491,1332,164,1
J7,810,3,576,1348,538,1
J17,938,2,589,1392,454,1
J14,882,3,649,1467,585,1
J2,1062,4,742,1478,416,1
J9,952,8,814,1563,611,1
J31,956,9,849,1620,664,1
J13,1014,8,916,1669,655,1
J26,926,1,1010,1747,821,1
J47,912,2,1082,1778,866,1
J28,834,3,1115,1864,1030,1
J5,992,7,1177,1868,876,1
J10,846,5,1219,1960,1114,1
J18,978,8,1252,1970,992,1
J30,1004,4,1260,2015,1011,1
J6,1132,10,1327,2088,956,1
J37,1100,9,1403,2138,1038,1
J20,1174,2,1469,2218,1044,1
J44,880,9,1525,2232,1352,1
J32,1038,3,1576,2312,1274,1
J25,988,9,1644,2343,1355,1
J41,1096,9,1705,2409,1313,1
J27,1018,10,1784,2419,1401,1
J34,1120,3,1836,2513,1393,1
J45,968,10,1846,2558,1590,1
J43,1038,10,1915,2581,1543,1
J29,1114,7,1958,2687,1573,1
J21,1234,5,2043,2779,1545,1
J8,1334,7,2083,2865,1531,1
J19,1232,6,2165,2964,1732,1
J36,1210,5,2231,3008,1798,1
J16,1282,5,2323,3131,1849,1
J39,1240,2,2405,3238,1998,1

TT,TWT,T_max,NT
39238,235363,1998,44

Metric,Value
Objective optimized,TT
Runtime (s),42.44845414161682
Iterations,10
d,25
Seed,42
