Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J49,954,7,0,477,0,0
J28,1082,3,32,573,0,0
J37,1108,9,42,731,0,0
J9,1084,8,70,809,0,0
J39,1298,2,72,830,0,0
J15,1014,6,148,897,0,0
J21,820,5,200,988,168,1
J25,1140,9,254,997,0,0
J23,842,10,332,1036,194,1
J6,678,10,376,1102,424,1
J33,750,5,431,1195,445,1
J26,632,1,494,1226,594,1
J32,1056,3,501,1318,262,1
J29,1114,7,523,1376,262,1
J40,768,4,586,1429,661,1
J4,1166,5,622,1432,266,1
J42,1032,2,695,1530,498,1
J17,750,2,700,1540,790,1
J27,696,10,742,1597,901,1
J41,624,9,799,1634,1010,1
J18,786,8,828,1677,891,1
J20,928,2,900,1704,776,1
J13,856,8,945,1736,880,1
J11,1062,4,971,1776,714,1
J31,902,9,1016,1828,926,1
J30,1056,4,1107,1853,797,1
J12,1036,8,1180,1932,896,1
J46,904,5,1221,2035,1131,1
J36,810,5,1286,2073,1263,1
J3,1022,8,1377,2139,1117,1
J2,930,4,1440,2173,1243,1
J1,1068,7,1468,2284,1216,1
J43,1172,10,1497,2355,1183,1
J24,1174,6,1574,2382,1208,1
J48,788,4,1623,2467,1679,1
J22,948,1,1684,2503,1555,1
J34,838,3,1755,2504,1666,1
J16,1088,5,1853,2588,1500,1
J44,1034,9,1863,2662,1628,1
J10,1082,5,1944,2724,1642,1
J14,1376,3,1989,2761,1385,1
J50,1344,8,2076,2823,1479,1
J7,1078,3,2137,2894,1816,1
J38,944,7,2216,2914,1970,1
J8,1118,7,2302,3007,1889,1
J45,1056,10,2384,3021,1965,1
J35,1108,7,2457,3095,1987,1
J19,1440,6,2549,3279,1839,1
J47,1326,2,2608,3303,1977,1
J5,1486,7,2680,3478,1992,1

TT,TWT,T_max,NT
48685,282413,1992,43

Metric,Value
Objective optimized,T_max
Runtime (s),33.881340980529785
Iterations,10
d,25
Seed,42
