Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J3,252,8,0,126,0,0
J15,450,6,15,241,0,0
J5,706,7,27,380,0,0
J4,676,5,104,480,0,0
J14,470,3,175,529,59,1
J17,382,2,204,587,205,1
J9,414,8,236,656,242,1
J13,394,8,263,664,270,1
J7,556,3,277,717,161,1
J8,442,7,330,758,316,1
J12,468,8,368,830,362,1
J11,514,4,459,916,402,1
J6,554,10,535,951,397,1
J16,530,5,571,1038,508,1
J19,538,6,648,1106,568,1
J20,540,2,716,1134,594,1
J1,546,7,810,1192,646,1
J2,578,4,864,1248,670,1
J10,610,5,947,1261,651,1
J18,686,8,1034,1377,691,1

TT,TWT,T_max,NT,,,
6742,38973,691,16,,,
