Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J4,302,5,0,151,0,0
J16,404,5,4,206,0,0
J10,408,5,53,292,0,0
J15,388,6,60,367,0,0
J7,436,3,149,421,0,0
J12,526,8,181,518,0,0
J1,650,7,245,612,0,0
J18,648,8,282,708,60,1
J17,632,2,361,786,154,1
J6,688,10,363,865,177,1
J3,586,8,437,928,342,1
J20,610,2,438,1019,409,1
J11,600,4,491,1057,457,1
J9,596,8,569,1086,490,1
J19,572,6,642,1095,523,1
J14,544,3,721,1129,585,1
J5,440,7,781,1164,724,1
J2,494,4,845,1277,783,1
J13,474,8,881,1338,864,1
J8,486,7,979,1416,930,1

TT,TWT,T_max,NT,,,
6498,38375,930,13,,,
