Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J49,768,7,0,384,0,0
J44,926,9,14,504,0,0
J38,812,7,18,538,0,0
J21,670,5,51,585,0,0
J15,734,6,81,663,0,0
J30,1030,4,151,716,0,0
J41,724,9,162,761,37,1
J14,722,3,199,782,60,1
J19,656,6,277,821,165,1
J4,844,5,304,908,64,1
J27,818,10,395,981,163,1
J37,818,9,400,984,166,1
J8,908,7,494,1102,194,1
J1,1222,7,564,1221,0,0
J20,1226,2,582,1314,88,1
J23,906,10,629,1335,429,1
J9,914,8,692,1365,451,1
J2,812,4,734,1372,560,1
J12,882,8,811,1457,575,1
J17,1022,2,899,1544,522,1
J28,936,3,950,1618,682,1
J39,886,2,1032,1647,761,1
J6,1104,10,1084,1743,639,1
J3,1232,8,1094,1842,610,1
J42,956,2,1167,1844,888,1
J45,836,10,1214,1849,1013,1
J13,998,8,1264,1912,914,1
J29,962,7,1355,1945,983,1
J40,938,4,1404,1973,1035,1
J10,792,5,1416,2032,1240,1
J24,1026,6,1437,2109,1083,1
J22,1138,1,1498,2191,1053,1
J32,1218,3,1535,2260,1042,1
J16,1212,5,1613,2356,1144,1
J26,1232,1,1666,2429,1197,1
J7,1102,3,1746,2504,1402,1
J33,1016,5,1804,2515,1499,1
J34,1018,3,1861,2571,1553,1
J47,1092,2,1908,2665,1573,1
J36,1152,5,1966,2732,1580,1
J5,1230,7,2058,2807,1577,1
J50,1124,8,2154,2826,1702,1
J43,1078,10,2238,2901,1823,1
J46,1186,5,2277,2996,1810,1
J18,1250,8,2367,3076,1826,1
J48,1154,4,2463,3173,2019,1
J11,1204,4,2509,3269,2065,1
J31,1352,9,2520,3338,1986,1
J25,1500,9,2599,3459,1959,1
J35,1554,7,2672,3535,1981,1

TT,TWT,T_max,NT,,,
44113,250791,2065,43,,,
