subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,53156,307444,2419,36,1.2021
50j_10m,instance_10.csv,53062,300463,2724,35,1.1996
50j_10m,instance_2.csv,48776,276387,2256,35,1.2048
50j_10m,instance_3.csv,48779,286282,2531,34,1.267
50j_10m,instance_4.csv,50685,307715,2277,36,1.2437
50j_10m,instance_5.csv,48167,268124,2337,35,1.2668
50j_10m,instance_6.csv,50376,280137,2520,35,1.3478
50j_10m,instance_7.csv,58137,338999,2665,36,1.3841
50j_10m,instance_8.csv,53105,313844,2502,37,1.2855
50j_10m,instance_9.csv,55208,324289,2583,38,1.3905
