subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,49759,304218,2022,43,0.9278
50j_10m,instance_10.csv,50450,304735,1895,43,0.8733
50j_10m,instance_2.csv,43701,257605,1896,45,0.9953
50j_10m,instance_3.csv,42647,244860,1854,43,0.9156
50j_10m,instance_4.csv,45782,290924,1917,40,0.8914
50j_10m,instance_5.csv,43573,250324,1919,40,0.8618
50j_10m,instance_6.csv,53107,309342,2008,41,0.9275
50j_10m,instance_7.csv,53553,319575,2055,42,0.9748
50j_10m,instance_8.csv,52473,299520,1925,44,0.8835
50j_10m,instance_9.csv,56359,324802,2093,43,0.9351
