instance,n_jobs,n_machines,lb,ub,TT,cpu_time_s,sequence
1,20,5,1232,1278,4506,0.027287,3 17 9 15 13 12 8 16 6 2 14 1 19 10 7 20 11 4 5 18
2,20,5,1290,1359,6143,0.02148,14 6 10 3 19 4 18 15 16 20 11 12 2 8 17 7 9 5 13 1
3,20,5,1073,1081,5418,0.021854,3 15 4 13 14 10 16 19 8 20 11 6 9 2 1 18 7 17 5 12
4,20,5,1268,1293,5466,0.021918,13 18 9 16 14 4 6 19 8 20 17 2 12 3 15 11 10 1 5 7
5,20,5,1198,1236,4615,0.021,3 5 12 8 10 1 20 15 19 7 18 4 13 9 17 16 11 14 6 2
6,20,5,1180,1195,4324,0.022111,14 2 20 17 13 5 3 8 1 6 7 16 19 4 18 10 12 9 11 15
7,20,5,1226,1239,4356,0.021469,10 13 1 18 14 17 16 15 4 2 5 7 19 12 20 9 8 11 3 6
8,20,5,1170,1206,4166,0.020651,12 6 17 1 2 3 9 11 10 14 4 7 15 16 13 5 20 18 19 8
9,20,5,1206,1230,5163,0.021691,4 10 2 16 15 7 20 17 14 5 13 8 12 3 9 6 1 11 18 19
10,20,5,1082,1108,4399,0.021917,11 7 5 9 16 19 15 12 20 17 4 18 13 1 10 14 3 2 8 6
