Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J11,340,4,0,170,0,0
J7,354,3,2,227,0,0
J16,410,5,39,308,0,0
J5,336,7,53,319,0,0
J12,398,8,71,368,0,0
J15,350,6,110,379,29,1
J9,286,8,143,389,103,1
J1,518,7,199,483,0,0
J19,406,6,226,543,137,1
J20,474,2,262,570,96,1
J17,480,2,327,621,141,1
J6,632,10,415,738,106,1
J10,536,5,456,778,242,1
J14,580,3,476,812,232,1
J13,524,8,557,902,378,1
J18,494,8,648,923,429,1
J2,628,4,670,1007,379,1
J8,664,7,762,1094,430,1
J3,658,8,820,1156,498,1
J4,486,5,895,1184,698,1

TT,TWT,T_max,NT,,,
3898,23716,698,14,,,
