Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J11,340,4,0,170,0,0
J7,354,3,2,227,0,0
J16,410,5,39,308,0,0
J5,336,7,53,319,0,0
J12,398,8,71,368,0,0
J15,350,6,110,379,29,1
J9,286,8,143,389,103,1
J1,518,7,199,483,0,0
J13,524,8,226,573,49,1
J10,536,5,317,613,77,1
J19,406,6,337,660,254,1
J20,474,2,373,687,213,1
J17,480,2,438,738,258,1
J6,632,10,526,849,217,1
J18,494,8,567,870,376,1
J2,628,4,589,954,326,1
J8,664,7,681,1035,371,1
J3,658,8,739,1097,439,1
J4,486,5,814,1107,621,1
J14,580,3,908,1198,618,1

TT,TWT,T_max,NT,,,
3951,21791,621,14,,,
