Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J3,380,8,0,190,0,0
J16,438,5,9,269,0,0
J20,542,2,14,374,0,0
J14,432,3,41,473,41,1
J13,304,8,65,515,211,1
J19,412,6,141,545,133,1
J5,632,7,163,565,0,0
J4,322,5,192,611,289,1
J11,446,4,249,643,197,1
J10,356,5,274,714,358,1
J12,720,8,360,762,42,1
J2,322,4,399,775,453,1
J18,584,8,493,848,264,1
J15,276,6,522,855,579,1
J6,452,10,560,888,436,1
J9,524,8,639,921,397,1
J8,426,7,704,963,537,1
J1,448,7,777,1046,598,1
J17,506,2,854,1107,601,1
J7,688,3,945,1289,601,1

TT,TWT,T_max,NT,,,
5737,32852,601,16,,,
