subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5204,30968,890,11,40.1203
20j_5m,instance_10.csv,5756,36196,838,11,40.1462
20j_5m,instance_2.csv,6615,40045,900,12,40.1126
20j_5m,instance_3.csv,6156,32775,916,12,40.1203
20j_5m,instance_4.csv,7532,40243,1163,11,40.1114
20j_5m,instance_5.csv,5653,30883,907,10,40.1509
20j_5m,instance_6.csv,5249,32143,818,10,40.1148
20j_5m,instance_7.csv,6510,41542,1113,10,40.0984
20j_5m,instance_8.csv,5505,32107,753,10,40.1894
20j_5m,instance_9.csv,6041,34424,837,12,40.1687
