Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J33,358,5,0,179,0,0
J44,870,9,3,471,0,0
J30,664,4,8,532,0,0
J25,644,9,50,556,0,0
J47,866,2,104,617,0,0
J31,934,9,143,679,0,0
J20,902,2,172,772,0,0
J38,822,7,228,814,0,0
J21,1028,5,298,881,0,0
J23,1098,10,314,996,0,0
J35,1090,7,321,1014,0,0
J8,1132,7,356,1130,0,0
J11,1288,4,445,1228,0,0
J3,1424,8,537,1374,0,0
J45,718,10,580,1427,709,1
J17,1258,2,604,1485,227,1
J29,638,7,637,1507,869,1
J4,1212,5,720,1590,378,1
J41,1158,9,792,1609,451,1
J48,1174,4,852,1748,574,1
J43,1090,10,866,1754,664,1
J50,778,8,926,1828,1050,1
J16,1150,5,1025,1945,795,1
J18,1140,8,1082,2041,901,1
J14,1128,3,1089,2103,975,1
J46,1116,5,1109,2181,1065,1
J26,896,1,1161,2185,1289,1
J36,982,5,1228,2240,1258,1
J2,1106,4,1252,2311,1205,1
J24,1098,6,1292,2336,1238,1
J39,1084,2,1366,2406,1322,1
J34,1078,3,1413,2444,1366,1
J12,1074,8,1422,2551,1477,1
J32,1028,3,1512,2671,1643,1
J27,1038,10,1576,2707,1669,1
J15,850,6,1591,2710,1860,1
J22,1034,1,1688,2772,1738,1
J37,1016,9,1729,2895,1879,1
J19,954,6,1801,2905,1951,1
J42,970,2,1870,2959,1989,1
J28,928,3,1881,3003,2075,1
J9,904,8,1966,3025,2121,1
J10,916,5,2050,3075,2159,1
J6,906,10,2093,3113,2207,1
J40,882,4,2152,3233,2351,1
J1,878,7,2230,3293,2415,1
J5,862,7,2298,3327,2465,1
J49,854,7,2385,3351,2497,1
J7,824,3,2450,3381,2557,1
J13,822,8,2517,3451,2629,1

TT,TWT,T_max,NT,,,
54018,307646,2629,36,,,
