Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J3,380,0,190,0,0
J15,276,9,197,0,0
J14,432,47,296,0,0
J13,304,71,338,34,1
J16,438,147,392,0,0
J19,412,152,422,10,1
J11,446,174,466,20,1
J2,322,199,479,157,1
J4,322,293,525,203,1
J20,542,350,625,83,1
J18,584,377,706,122,1
J5,632,406,743,111,1
J10,356,435,814,458,1
J12,720,521,881,161,1
J9,524,560,914,390,1
J17,506,625,938,432,1
J6,452,716,973,521,1
J8,426,795,1015,589,1
J1,448,868,1098,650,1
J7,688,945,1289,601,1

Status,TT,,,,
FEASIBLE,4542,,,,
